date,channel,source,medium,campaign,clicks,conversions,conversion_value_sar,ad_spend_sar
2025-01-28,Paid Social,instagram,paid_social,Creator Offers,23,9,1750.18,145.76
2025-01-28,Paid Search,google,cpc,KSA Growth,16,5,1167.46,65.32
2025-01-30,Paid Search,google,cpc,KSA Growth,24,9,2421.6,154.83
2025-01-30,Paid Social,instagram,paid_social,Creator Offers,23,6,2079.55,168.24
2025-02-01,Paid Search,google,cpc,KSA Growth,19,7,1871.42,159.04
2025-02-01,Paid Social,instagram,paid_social,Creator Offers,21,8,1514.98,87.02
2025-02-03,Paid Social,instagram,paid_social,Creator Offers,16,6,1080.0,92.69
2025-02-03,Paid Search,google,cpc,KSA Growth,17,6,1190.59,121.86
2025-02-05,Paid Search,google,cpc,KSA Growth,19,8,2004.77,146.8
2025-02-05,Paid Social,instagram,paid_social,Creator Offers,28,11,2073.98,156.2
2025-02-07,Paid Search,google,cpc,KSA Growth,19,8,2045.18,100.88
2025-02-07,Paid Social,instagram,paid_social,Creator Offers,16,7,1262.69,74.58
2025-02-09,Paid Social,instagram,paid_social,Creator Offers,17,5,1080.0,133.56
2025-02-09,Paid Search,google,cpc,KSA Growth,14,4,1061.86,115.01
2025-02-11,Paid Search,google,cpc,KSA Growth,21,8,1662.72,101.03
2025-02-11,Paid Social,instagram,paid_social,Creator Offers,15,6,1840.51,64.2
2025-02-13,Paid Search,google,cpc,KSA Growth,28,12,2547.07,207.58
2025-02-13,Paid Social,instagram,paid_social,Creator Offers,22,7,1391.14,106.04
2025-02-15,Paid Social,instagram,paid_social,Creator Offers,15,5,1176.0,64.1
2025-02-15,Paid Search,google,cpc,KSA Growth,21,8,1667.62,159.16
2025-02-17,Paid Search,google,cpc,KSA Growth,28,12,2725.63,193.24
2025-02-17,Paid Social,instagram,paid_social,Creator Offers,21,6,1021.44,161.95
2025-02-19,Paid Search,google,cpc,KSA Growth,17,8,1807.97,70.11
2025-02-19,Paid Social,instagram,paid_social,Creator Offers,20,11,2351.33,102.09
2025-02-21,Paid Social,instagram,paid_social,Creator Offers,19,8,1691.52,90.77
2025-02-21,Paid Search,google,cpc,KSA Growth,17,5,1147.3,79.19
2025-02-23,Paid Search,google,cpc,KSA Growth,20,8,1770.34,170.04
2025-02-23,Paid Social,instagram,paid_social,Creator Offers,15,6,1505.47,112.82
2025-02-25,Paid Search,google,cpc,KSA Growth,16,7,1609.06,90.61
2025-02-25,Paid Social,instagram,paid_social,Creator Offers,24,7,1404.48,181.47
2025-02-27,Paid Social,instagram,paid_social,Creator Offers,28,15,4443.46,236.79
2025-02-27,Paid Search,google,cpc,KSA Growth,22,5,1040.83,174.18
2025-03-01,Paid Search,google,cpc,KSA Growth,22,11,2266.75,132.33
2025-03-01,Paid Social,instagram,paid_social,Creator Offers,23,9,1910.4,99.73
2025-03-03,Paid Search,google,cpc,KSA Growth,24,8,1860.58,112.95
2025-03-03,Paid Social,instagram,paid_social,Creator Offers,19,8,1554.43,155.92
2025-03-05,Paid Social,instagram,paid_social,Creator Offers,27,10,2546.11,116.86
2025-03-05,Paid Search,google,cpc,KSA Growth,16,7,1406.69,84.93
2025-03-07,Paid Search,google,cpc,KSA Growth,37,16,3400.7,204.0
2025-03-07,Paid Social,instagram,paid_social,Creator Offers,20,5,900.58,144.21
2025-03-09,Paid Search,google,cpc,KSA Growth,27,12,2486.59,194.67
2025-03-09,Paid Social,instagram,paid_social,Creator Offers,36,20,4688.93,177.74
2025-03-11,Paid Social,instagram,paid_social,Creator Offers,21,8,1752.29,101.36
2025-03-11,Paid Search,google,cpc,KSA Growth,21,7,1574.69,143.3
2025-03-13,Paid Search,google,cpc,KSA Growth,42,16,3693.7,340.99
2025-03-13,Paid Social,instagram,paid_social,Creator Offers,33,11,2176.8,261.69
2025-03-15,Paid Search,google,cpc,KSA Growth,36,14,3615.74,248.13
2025-03-15,Paid Social,instagram,paid_social,Creator Offers,21,8,1859.81,94.86
2025-03-17,Paid Social,instagram,paid_social,Creator Offers,18,5,1080.0,118.42
2025-03-17,Paid Search,google,cpc,KSA Growth,27,9,2303.04,165.66
2025-03-19,Paid Search,google,cpc,KSA Growth,26,11,2789.95,137.68
2025-03-19,Paid Social,instagram,paid_social,Creator Offers,25,8,2076.77,169.2
2025-03-21,Paid Search,google,cpc,KSA Growth,33,14,3263.33,230.83
2025-03-21,Paid Social,instagram,paid_social,Creator Offers,22,7,1559.42,178.5
2025-03-23,Paid Social,instagram,paid_social,Creator Offers,35,11,2401.15,172.17
2025-03-23,Paid Search,google,cpc,KSA Growth,18,7,1949.76,146.53
2025-03-25,Paid Search,google,cpc,KSA Growth,24,11,2325.5,102.89
2025-03-25,Paid Social,instagram,paid_social,Creator Offers,30,9,1740.58,171.68
2025-03-27,Paid Search,google,cpc,KSA Growth,25,8,2001.79,147.51
2025-03-27,Paid Social,instagram,paid_social,Creator Offers,20,7,1178.98,106.45
2025-03-29,Paid Social,instagram,paid_social,Creator Offers,34,16,3818.11,217.67
2025-03-29,Paid Search,google,cpc,KSA Growth,36,9,1880.83,156.07
2025-03-31,Paid Search,google,cpc,KSA Growth,20,6,1395.84,97.52
2025-03-31,Paid Social,instagram,paid_social,Creator Offers,20,10,2047.78,150.35
2025-04-02,Paid Search,google,cpc,KSA Growth,18,6,1305.79,110.41
2025-04-02,Paid Social,instagram,paid_social,Creator Offers,13,4,730.66,91.38
2025-04-04,Paid Social,instagram,paid_social,Creator Offers,21,7,1172.45,112.83
2025-04-04,Paid Search,google,cpc,KSA Growth,23,9,1958.69,144.19
2025-04-06,Paid Search,google,cpc,KSA Growth,26,11,2162.3,108.75
2025-04-06,Paid Social,instagram,paid_social,Creator Offers,14,4,620.16,64.28
2025-04-08,Paid Search,google,cpc,KSA Growth,23,9,2121.7,184.62
2025-04-08,Paid Social,instagram,paid_social,Creator Offers,25,10,2021.09,111.3
2025-04-10,Paid Social,instagram,paid_social,Creator Offers,25,10,2093.76,196.67
2025-04-10,Paid Search,google,cpc,KSA Growth,18,7,1178.4,95.02
2025-04-12,Paid Search,google,cpc,KSA Growth,15,5,962.11,73.37
2025-04-12,Paid Social,instagram,paid_social,Creator Offers,13,4,895.78,84.48
2025-04-14,Paid Search,google,cpc,KSA Growth,28,14,2990.69,167.59
2025-04-14,Paid Social,instagram,paid_social,Creator Offers,15,7,1372.9,105.56
2025-04-16,Paid Social,instagram,paid_social,Creator Offers,18,7,1578.34,90.23
2025-04-16,Paid Search,google,cpc,KSA Growth,24,6,1193.47,187.86
2025-04-18,Paid Search,google,cpc,KSA Growth,21,8,1456.42,146.19
2025-04-18,Paid Social,instagram,paid_social,Creator Offers,30,11,1934.59,177.06
2025-04-20,Paid Search,google,cpc,KSA Growth,26,12,2512.7,130.08
2025-04-20,Paid Social,instagram,paid_social,Creator Offers,26,7,1557.22,132.45
2025-04-22,Paid Social,instagram,paid_social,Creator Offers,15,5,1253.09,78.72
2025-04-22,Paid Search,google,cpc,KSA Growth,25,11,2382.24,207.88
2025-04-24,Paid Search,google,cpc,KSA Growth,28,12,2301.31,174.59
2025-04-24,Paid Social,instagram,paid_social,Creator Offers,28,14,3370.08,194.88
2025-04-26,Paid Search,google,cpc,KSA Growth,14,6,1300.99,109.42
2025-04-26,Paid Social,instagram,paid_social,Creator Offers,15,4,754.56,98.97
2025-04-28,Paid Social,instagram,paid_social,Creator Offers,15,5,1149.22,94.06
2025-04-28,Paid Search,google,cpc,KSA Growth,19,5,1080.0,111.12
2025-04-30,Paid Search,google,cpc,KSA Growth,18,7,1528.42,123.77
2025-04-30,Paid Social,instagram,paid_social,Creator Offers,16,4,908.26,88.28
2025-05-02,Paid Search,google,cpc,KSA Growth,22,8,1788.77,167.85
2025-05-02,Paid Social,instagram,paid_social,Creator Offers,14,5,1224.1,78.13
2025-05-04,Paid Social,instagram,paid_social,Creator Offers,15,3,582.72,117.78
2025-05-04,Paid Search,google,cpc,KSA Growth,21,12,2177.66,164.77
2025-05-06,Paid Search,google,cpc,KSA Growth,27,8,2238.91,189.37
2025-05-06,Paid Social,instagram,paid_social,Creator Offers,14,5,1730.4,103.75
2025-05-08,Paid Search,google,cpc,KSA Growth,15,4,888.96,87.82
2025-05-08,Paid Social,instagram,paid_social,Creator Offers,18,6,1452.67,74.05
2025-05-10,Paid Social,instagram,paid_social,Creator Offers,25,9,2366.5,190.75
2025-05-10,Paid Search,google,cpc,KSA Growth,12,4,729.79,57.34
2025-05-12,Paid Search,google,cpc,KSA Growth,21,9,1820.26,165.83
2025-05-12,Paid Social,instagram,paid_social,Creator Offers,21,6,1323.07,114.89
2025-05-14,Paid Search,google,cpc,KSA Growth,28,10,1970.98,168.93
2025-05-14,Paid Social,instagram,paid_social,Creator Offers,27,7,1851.26,165.32
2025-05-16,Paid Social,instagram,paid_social,Creator Offers,30,15,3951.65,218.56
2025-05-16,Paid Search,google,cpc,KSA Growth,18,4,1036.99,140.25
2025-05-18,Paid Search,google,cpc,KSA Growth,18,5,948.67,151.0
2025-05-18,Paid Social,instagram,paid_social,Creator Offers,26,9,2185.25,134.87
2025-05-20,Paid Search,google,cpc,KSA Growth,22,6,1297.15,110.76
2025-05-20,Paid Social,instagram,paid_social,Creator Offers,26,8,1672.32,191.32
2025-05-22,Paid Social,instagram,paid_social,Creator Offers,14,4,745.92,81.38
2025-05-22,Paid Search,google,cpc,KSA Growth,19,8,1691.52,92.75
2025-05-24,Paid Search,google,cpc,KSA Growth,16,6,1319.04,73.47
2025-05-24,Paid Social,instagram,paid_social,Creator Offers,18,5,612.58,93.34
2025-05-26,Paid Search,google,cpc,KSA Growth,23,10,2217.79,146.98
2025-05-26,Paid Social,instagram,paid_social,Creator Offers,21,8,1739.52,139.57
2025-05-28,Paid Social,instagram,paid_social,Creator Offers,15,5,1371.94,68.33
2025-05-28,Paid Search,google,cpc,KSA Growth,27,8,1893.22,125.7
2025-05-30,Paid Search,google,cpc,KSA Growth,22,6,1064.74,112.97
2025-05-30,Paid Social,instagram,paid_social,Creator Offers,26,12,2775.46,115.55
2025-06-01,Paid Search,google,cpc,KSA Growth,20,9,1789.82,118.6
2025-06-01,Paid Social,instagram,paid_social,Creator Offers,27,12,3249.7,147.97
2025-06-03,Paid Social,instagram,paid_social,Creator Offers,21,11,2547.36,166.48
2025-06-03,Paid Search,google,cpc,KSA Growth,28,16,3030.14,220.0
2025-06-05,Paid Search,google,cpc,KSA Growth,28,8,1958.5,156.47
2025-06-05,Paid Social,instagram,paid_social,Creator Offers,31,12,2661.6,168.05
2025-06-07,Paid Search,google,cpc,KSA Growth,29,12,2511.65,156.33
2025-06-07,Paid Social,instagram,paid_social,Creator Offers,14,7,1439.23,91.72
2025-06-09,Paid Social,instagram,paid_social,Creator Offers,14,5,1080.0,61.3
2025-06-09,Paid Search,google,cpc,KSA Growth,12,3,803.52,103.12
2025-06-11,Paid Search,google,cpc,KSA Growth,12,4,822.82,100.19
2025-06-11,Paid Social,instagram,paid_social,Creator Offers,15,3,468.48,123.61
2025-06-13,Paid Search,google,cpc,KSA Growth,27,10,2365.92,161.6
2025-06-13,Paid Social,instagram,paid_social,Creator Offers,31,10,2296.51,226.37
2025-06-15,Paid Social,instagram,paid_social,Creator Offers,24,13,3306.53,174.43
2025-06-15,Paid Search,google,cpc,KSA Growth,22,9,2125.73,97.18
2025-06-17,Paid Search,google,cpc,KSA Growth,15,5,1034.11,82.73
2025-06-17,Paid Social,instagram,paid_social,Creator Offers,17,5,816.1,112.72
2025-06-19,Paid Search,google,cpc,KSA Growth,21,6,1459.39,130.86
2025-06-19,Paid Social,instagram,paid_social,Creator Offers,16,7,1198.27,98.13
2025-06-21,Paid Social,instagram,paid_social,Creator Offers,14,4,945.6,72.31
2025-06-21,Paid Search,google,cpc,KSA Growth,19,9,1507.68,133.91
2025-06-23,Paid Search,google,cpc,KSA Growth,23,10,2073.98,109.6
2025-06-23,Paid Social,instagram,paid_social,Creator Offers,28,7,2044.13,144.19
2025-06-25,Paid Search,google,cpc,KSA Growth,20,8,1644.58,80.85
2025-06-25,Paid Social,instagram,paid_social,Creator Offers,23,11,2105.57,173.88
2025-06-27,Paid Social,instagram,paid_social,Creator Offers,16,4,1090.56,127.63
2025-06-27,Paid Search,google,cpc,KSA Growth,26,7,1578.43,114.58
2025-06-29,Paid Search,google,cpc,KSA Growth,19,6,1510.08,81.67
2025-06-29,Paid Social,instagram,paid_social,Creator Offers,20,8,1673.47,110.84
2025-07-01,Paid Search,google,cpc,KSA Growth,24,9,2131.68,164.66
2025-07-01,Paid Social,instagram,paid_social,Creator Offers,24,8,2009.57,152.19
2025-07-03,Paid Social,instagram,paid_social,Creator Offers,17,4,932.35,113.72
2025-07-03,Paid Search,google,cpc,KSA Growth,27,10,2279.62,202.79
2025-07-05,Paid Search,google,cpc,KSA Growth,21,10,2180.26,128.65
2025-07-05,Paid Social,instagram,paid_social,Creator Offers,23,9,2292.77,152.4
2025-07-07,Paid Search,google,cpc,KSA Growth,23,10,2068.99,173.9
2025-07-07,Paid Social,instagram,paid_social,Creator Offers,26,12,2561.38,150.13
2025-07-09,Paid Social,instagram,paid_social,Creator Offers,15,8,1490.98,121.35
2025-07-09,Paid Search,google,cpc,KSA Growth,25,11,2732.26,133.58
2025-07-11,Paid Search,google,cpc,KSA Growth,26,10,2343.55,134.43
2025-07-11,Paid Social,instagram,paid_social,Creator Offers,14,3,668.16,77.34
2025-07-13,Paid Search,google,cpc,KSA Growth,27,9,2437.63,154.51
2025-07-13,Paid Social,instagram,paid_social,Creator Offers,18,4,956.16,144.89
2025-07-15,Paid Social,instagram,paid_social,Creator Offers,12,4,1115.62,78.63
2025-07-15,Paid Search,google,cpc,KSA Growth,24,9,1875.07,165.51
2025-07-17,Paid Search,google,cpc,KSA Growth,19,9,2017.25,116.93
2025-07-17,Paid Social,instagram,paid_social,Creator Offers,31,9,2219.62,190.88
2025-07-19,Paid Search,google,cpc,KSA Growth,22,9,2141.09,99.86
2025-07-19,Paid Social,instagram,paid_social,Creator Offers,20,6,1233.7,84.23
2025-07-21,Paid Social,instagram,paid_social,Creator Offers,19,6,1504.42,87.79
2025-07-21,Paid Search,google,cpc,KSA Growth,12,5,1061.86,106.16
2025-07-23,Paid Search,google,cpc,KSA Growth,29,9,1787.81,143.54
2025-07-23,Paid Social,instagram,paid_social,Creator Offers,24,5,814.27,161.31
2025-07-25,Paid Search,google,cpc,KSA Growth,23,6,1374.91,147.32
2025-07-25,Paid Social,instagram,paid_social,Creator Offers,29,12,2628.96,171.44
2025-07-27,Paid Social,instagram,paid_social,Creator Offers,24,6,1642.85,108.75
2025-07-27,Paid Search,google,cpc,KSA Growth,18,9,1878.24,139.4
2025-07-29,Paid Search,google,cpc,KSA Growth,21,9,2157.31,102.54
2025-07-29,Paid Social,instagram,paid_social,Creator Offers,18,5,611.52,93.31
2025-07-31,Paid Search,google,cpc,KSA Growth,30,15,4240.9,216.78
2025-07-31,Paid Social,instagram,paid_social,Creator Offers,23,11,2227.2,130.43
2025-08-02,Paid Social,instagram,paid_social,Creator Offers,19,8,1769.47,116.78
2025-08-02,Paid Search,google,cpc,KSA Growth,25,10,1573.63,105.84
2025-08-04,Paid Search,google,cpc,KSA Growth,13,4,1070.5,81.83
2025-08-04,Paid Social,instagram,paid_social,Creator Offers,25,12,2717.28,172.64
2025-08-06,Paid Search,google,cpc,KSA Growth,21,9,2253.5,134.63
2025-08-06,Paid Social,instagram,paid_social,Creator Offers,26,7,1758.72,113.54
2025-08-08,Paid Social,instagram,paid_social,Creator Offers,28,12,2460.77,150.08
2025-08-08,Paid Search,google,cpc,KSA Growth,26,13,3513.89,126.75
2025-08-10,Paid Search,google,cpc,KSA Growth,31,12,2946.43,170.06
2025-08-10,Paid Social,instagram,paid_social,Creator Offers,30,13,2893.82,137.12
2025-08-12,Paid Search,google,cpc,KSA Growth,31,9,1957.06,141.02
2025-08-12,Paid Social,instagram,paid_social,Creator Offers,32,16,3878.88,176.44
2025-08-14,Paid Social,instagram,paid_social,Creator Offers,26,8,1691.71,114.89
2025-08-14,Paid Search,google,cpc,KSA Growth,34,14,3640.32,263.58
2025-08-16,Paid Search,google,cpc,KSA Growth,16,5,1347.94,90.58
2025-08-16,Paid Social,instagram,paid_social,Creator Offers,19,7,1297.15,78.28
2025-08-18,Paid Search,google,cpc,KSA Growth,28,11,2635.58,167.39
2025-08-18,Paid Social,instagram,paid_social,Creator Offers,16,5,1604.54,109.82
2025-08-20,Paid Social,instagram,paid_social,Creator Offers,31,15,3504.1,255.54
2025-08-20,Paid Search,google,cpc,KSA Growth,25,10,2045.09,184.8
2025-08-22,Paid Search,google,cpc,KSA Growth,37,10,1799.33,244.45
2025-08-22,Paid Social,instagram,paid_social,Creator Offers,19,5,1463.04,164.51
2025-08-24,Paid Search,google,cpc,KSA Growth,30,9,2461.54,218.78
2025-08-24,Paid Social,instagram,paid_social,Creator Offers,17,5,764.16,99.53
2025-08-26,Paid Social,instagram,paid_social,Creator Offers,15,5,1261.44,115.76
2025-08-26,Paid Search,google,cpc,KSA Growth,30,14,3148.42,242.19
2025-08-28,Paid Search,google,cpc,KSA Growth,25,10,2094.14,120.75
2025-08-28,Paid Social,instagram,paid_social,Creator Offers,20,10,1875.26,93.67
2025-08-30,Paid Search,google,cpc,KSA Growth,27,15,3249.02,207.09
2025-08-30,Paid Social,instagram,paid_social,Creator Offers,19,9,2043.17,83.45
2025-09-01,Paid Social,instagram,paid_social,Creator Offers,24,7,1739.52,149.99
2025-09-01,Paid Search,google,cpc,KSA Growth,23,9,1901.86,128.67
2025-09-03,Paid Search,google,cpc,KSA Growth,26,9,2367.46,171.15
2025-09-03,Paid Social,instagram,paid_social,Creator Offers,18,10,2048.83,114.59
2025-09-05,Paid Search,google,cpc,KSA Growth,35,9,1570.85,268.81
2025-09-05,Paid Social,instagram,paid_social,Creator Offers,36,18,4034.5,201.61
2025-09-07,Paid Social,instagram,paid_social,Creator Offers,18,11,2548.42,123.04
2025-09-07,Paid Search,google,cpc,KSA Growth,27,7,1095.46,222.21
2025-09-09,Paid Search,google,cpc,KSA Growth,22,6,1310.5,129.39
2025-09-09,Paid Social,instagram,paid_social,Creator Offers,18,5,818.98,126.19
2025-09-11,Paid Search,google,cpc,KSA Growth,27,11,2184.19,179.91
2025-09-11,Paid Social,instagram,paid_social,Creator Offers,26,13,3135.65,137.81
2025-09-13,Paid Social,instagram,paid_social,Creator Offers,13,3,582.72,73.91
2025-09-13,Paid Search,google,cpc,KSA Growth,18,9,1875.07,96.55
2025-09-15,Paid Search,google,cpc,KSA Growth,16,4,946.56,97.38
2025-09-15,Paid Social,instagram,paid_social,Creator Offers,14,4,927.36,79.73
2025-09-17,Paid Search,google,cpc,KSA Growth,29,9,2284.9,161.76
2025-09-17,Paid Social,instagram,paid_social,Creator Offers,14,3,621.12,76.33
2025-09-19,Paid Social,instagram,paid_social,Creator Offers,17,8,1452.48,128.62
2025-09-19,Paid Search,google,cpc,KSA Growth,18,9,2010.72,96.53
2025-09-21,Paid Search,google,cpc,KSA Growth,38,7,1583.31,299.08
2025-09-21,Paid Social,instagram,paid_social,Creator Offers,34,6,1215.98,234.68
2025-09-23,Paid Search,google,cpc,KSA Growth,28,8,1857.28,205.04
2025-09-23,Paid Social,instagram,paid_social,Creator Offers,31,7,1837.43,134.06
2025-09-25,Paid Social,instagram,paid_social,Creator Offers,22,9,2074.56,163.92
2025-09-25,Paid Search,google,cpc,KSA Growth,44,18,4056.48,260.24
2025-09-27,Paid Search,google,cpc,KSA Growth,21,8,1781.86,163.18
2025-09-27,Paid Social,instagram,paid_social,Creator Offers,25,5,1601.38,150.26
2025-09-29,Paid Search,google,cpc,KSA Growth,15,6,1104.1,121.06
2025-09-29,Paid Social,instagram,paid_social,Creator Offers,20,8,1645.54,118.67
2025-10-01,Paid Social,instagram,paid_social,Creator Offers,14,4,1008.29,83.3
2025-10-01,Paid Search,google,cpc,KSA Growth,15,4,724.99,125.09
2025-10-03,Paid Search,google,cpc,KSA Growth,17,7,1940.16,141.02
2025-10-03,Paid Social,instagram,paid_social,Creator Offers,20,5,1050.24,161.35
2025-10-05,Paid Search,google,cpc,KSA Growth,18,7,1586.88,80.11
2025-10-05,Paid Social,instagram,paid_social,Creator Offers,19,9,1942.37,128.23
2025-10-07,Paid Social,instagram,paid_social,Creator Offers,18,7,1208.93,143.58
2025-10-07,Paid Search,google,cpc,KSA Growth,13,4,717.22,88.58
2025-10-09,Paid Search,google,cpc,KSA Growth,28,12,2236.13,152.32
2025-10-09,Paid Social,instagram,paid_social,Creator Offers,20,5,1256.74,132.63
2025-10-11,Paid Search,google,cpc,KSA Growth,24,11,2472.38,174.15
2025-10-11,Paid Social,instagram,paid_social,Creator Offers,15,6,1251.84,81.84
2025-10-13,Paid Social,instagram,paid_social,Creator Offers,12,3,612.48,62.36
2025-10-13,Paid Search,google,cpc,KSA Growth,22,8,1829.09,127.86
2025-10-15,Paid Search,google,cpc,KSA Growth,14,5,1232.74,81.75
2025-10-15,Paid Social,instagram,paid_social,Creator Offers,18,8,1466.02,135.34
2025-10-17,Paid Search,google,cpc,KSA Growth,28,13,3163.49,179.76
2025-10-17,Paid Social,instagram,paid_social,Creator Offers,31,12,2159.33,247.11
2025-10-19,Paid Social,instagram,paid_social,Creator Offers,16,4,750.82,76.54
2025-10-19,Paid Search,google,cpc,KSA Growth,23,6,1085.09,188.61
2025-10-21,Paid Search,google,cpc,KSA Growth,20,8,1741.63,143.43
2025-10-21,Paid Social,instagram,paid_social,Creator Offers,18,6,1473.89,104.22
2025-10-23,Paid Search,google,cpc,KSA Growth,13,6,1338.24,103.57
2025-10-23,Paid Social,instagram,paid_social,Creator Offers,22,9,1996.03,101.77
2025-10-25,Paid Social,instagram,paid_social,Creator Offers,13,4,1358.4,63.32
2025-10-25,Paid Search,google,cpc,KSA Growth,22,7,1500.48,136.45
2025-10-27,Paid Search,google,cpc,KSA Growth,13,6,1284.58,105.28
2025-10-27,Paid Social,instagram,paid_social,Creator Offers,28,12,2734.66,183.56
2025-10-29,Paid Search,google,cpc,KSA Growth,22,7,1705.06,148.68
2025-10-29,Paid Social,instagram,paid_social,Creator Offers,16,6,1485.22,84.45
2025-10-31,Paid Social,instagram,paid_social,Creator Offers,26,7,1482.43,209.82
2025-10-31,Paid Search,google,cpc,KSA Growth,30,14,3283.68,235.93
2025-11-02,Paid Search,google,cpc,KSA Growth,19,10,2097.89,124.3
2025-11-02,Paid Social,instagram,paid_social,Creator Offers,19,8,1466.02,133.91
2025-11-04,Paid Search,google,cpc,KSA Growth,12,4,527.14,59.2
2025-11-04,Paid Social,instagram,paid_social,Creator Offers,12,6,1591.87,77.76
2025-11-06,Paid Social,instagram,paid_social,Creator Offers,30,12,2064.29,133.79
2025-11-06,Paid Search,google,cpc,KSA Growth,30,12,3091.3,124.73
2025-11-08,Paid Search,google,cpc,KSA Growth,29,12,3078.05,200.13
2025-11-08,Paid Social,instagram,paid_social,Creator Offers,28,10,1908.77,174.55
2025-11-10,Paid Search,google,cpc,KSA Growth,18,4,749.95,108.91
2025-11-10,Paid Social,instagram,paid_social,Creator Offers,28,11,2421.31,123.78
2025-11-12,Paid Social,instagram,paid_social,Creator Offers,18,5,1066.66,114.92
2025-11-12,Paid Search,google,cpc,KSA Growth,25,14,3619.39,127.8
2025-11-14,Paid Search,google,cpc,KSA Growth,29,12,2325.41,238.35
2025-11-14,Paid Social,instagram,paid_social,Creator Offers,22,8,1747.49,151.8
2025-11-16,Paid Search,google,cpc,KSA Growth,12,5,921.7,97.77
2025-11-16,Paid Social,instagram,paid_social,Creator Offers,14,5,904.51,86.07
2025-11-18,Paid Social,instagram,paid_social,Creator Offers,27,12,2721.02,173.27
2025-11-18,Paid Search,google,cpc,KSA Growth,21,8,1952.16,119.78
2025-11-20,Paid Search,google,cpc,KSA Growth,13,6,1404.48,90.31
2025-11-20,Paid Social,instagram,paid_social,Creator Offers,25,10,1901.09,176.27
2025-11-22,Paid Search,google,cpc,KSA Growth,27,10,1862.59,177.2
2025-11-22,Paid Social,instagram,paid_social,Creator Offers,28,17,4204.32,203.31
2025-11-24,Paid Social,instagram,paid_social,Creator Offers,13,5,1014.05,71.82
2025-11-24,Paid Search,google,cpc,KSA Growth,16,5,984.96,106.66
2025-11-26,Paid Search,google,cpc,KSA Growth,16,5,1127.04,94.42
2025-11-26,Paid Social,instagram,paid_social,Creator Offers,20,7,1617.7,82.91
2025-11-28,Paid Search,google,cpc,KSA Growth,21,6,1131.94,169.91
2025-11-28,Paid Social,instagram,paid_social,Creator Offers,26,9,1821.31,159.48
2025-11-30,Paid Social,instagram,paid_social,Creator Offers,26,8,1759.87,180.73
2025-11-30,Paid Search,google,cpc,KSA Growth,29,9,1989.31,192.35
2025-12-02,Paid Search,google,cpc,KSA Growth,25,9,1806.91,195.67
2025-12-02,Paid Social,instagram,paid_social,Creator Offers,23,9,1707.17,183.41
2025-12-04,Paid Search,google,cpc,KSA Growth,31,12,2477.95,232.13
2025-12-04,Paid Social,instagram,paid_social,Creator Offers,17,5,1434.24,114.61
2025-12-06,Paid Social,instagram,paid_social,Creator Offers,25,9,2724.67,212.05
2025-12-06,Paid Search,google,cpc,KSA Growth,17,6,1339.3,101.76
2025-12-08,Paid Search,google,cpc,KSA Growth,25,8,1757.95,167.06
2025-12-08,Paid Social,instagram,paid_social,Creator Offers,25,9,1998.05,179.69
2025-12-10,Paid Search,google,cpc,KSA Growth,12,3,717.12,56.52
2025-12-10,Paid Social,instagram,paid_social,Creator Offers,23,8,1893.22,161.68
