date,channel,source,medium,campaign,device,city,payment_method,customer_type,sessions,users,product_views,add_to_carts,begin_checkouts,purchases,units_sold,gross_revenue_sar,discount_sar,refund_sar,net_revenue_sar,cost_sar,ad_spend_sar
2025-01-24,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,stc_pay,new,142,106,93,26,16,11,11,2389.0,42.8,0.0,2346.2,746.0,134.29
2025-01-25,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,stc_pay,returning,94,72,71,20,10,5,6,1214.0,66.6,0.0,1147.4,354.0,0.0
2025-01-25,Direct,direct,none,Unassigned,desktop,Jeddah,visa,new,127,115,83,19,11,8,8,1762.0,72.7,0.0,1689.3,536.0,0.0
2025-01-25,Email,newsletter,email,Lifecycle,tablet,Dammam,mada,new,151,134,106,27,19,12,14,3086.0,102.5,0.0,2983.5,956.0,0.0
2025-01-26,Paid Search,google,cpc,KSA Growth,desktop,Dammam,mada,new,154,121,100,27,15,10,11,2549.0,27.9,199.0,2322.1,823.0,171.42
2025-01-26,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,mastercard,new,150,132,101,26,17,11,11,2359.0,45.8,219.0,2094.2,719.0,137.03
2025-01-26,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,apple_pay,new,85,72,60,11,7,5,6,1354.0,35.8,359.0,959.2,424.0,0.0
2025-01-27,Direct,direct,none,Unassigned,tablet,Madinah,apple_pay,new,167,129,123,27,17,12,12,2688.0,110.5,0.0,2577.5,840.0,0.0
2025-01-27,Email,newsletter,email,Lifecycle,mobile,Khobar,stc_pay,new,81,69,66,18,11,6,8,1422.0,0.0,278.0,1144.0,403.0,0.0
2025-01-27,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,visa,returning,89,71,69,18,10,5,5,1035.0,37.8,0.0,997.2,321.0,0.0
2025-01-28,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,visa,new,135,112,102,29,15,9,9,2121.0,18.9,279.0,1823.1,673.0,145.76
2025-01-28,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,mada,returning,82,68,56,15,9,5,6,1354.0,32.9,0.0,1321.1,424.0,0.0
2025-01-28,Paid Search,google,cpc,KSA Growth,tablet,Dammam,mastercard,new,93,72,72,15,9,5,5,1225.0,8.9,0.0,1216.1,399.0,65.32
2025-01-29,Email,newsletter,email,Lifecycle,desktop,Dammam,mastercard,returning,96,74,68,18,9,6,7,1663.0,35.9,0.0,1627.1,525.0,0.0
2025-01-29,Organic Search,google,organic,Always-on SEO,tablet,Makkah,apple_pay,new,144,126,99,20,10,7,8,1622.0,49.8,374.1,1198.1,501.0,0.0
2025-01-29,Direct,direct,none,Unassigned,mobile,Madinah,stc_pay,new,124,99,92,25,13,7,7,1463.0,65.7,0.0,1397.3,441.0,0.0
2025-01-30,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,stc_pay,new,83,61,60,15,9,5,6,1124.0,0.0,0.0,1124.0,317.0,0.0
2025-01-30,Paid Search,google,cpc,KSA Growth,mobile,Khobar,visa,new,141,120,100,20,12,9,11,2649.0,126.5,0.0,2522.5,840.0,154.83
2025-01-30,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,mada,new,135,106,104,19,10,6,8,2232.0,65.8,0.0,2166.2,743.0,168.24
2025-01-31,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,new,138,110,110,24,13,10,11,2689.0,62.6,0.0,2626.4,875.0,0.0
2025-01-31,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,new,153,129,111,23,12,7,7,1653.0,24.9,0.0,1628.1,519.0,0.0
2025-01-31,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,returning,85,68,59,14,7,4,4,816.0,17.9,0.0,798.1,238.0,0.0
2025-02-01,Paid Search,google,cpc,KSA Growth,desktop,Dammam,apple_pay,new,110,86,79,18,12,7,9,2031.0,81.6,0.0,1949.4,649.0,159.04
2025-02-01,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,returning,122,94,80,18,12,8,8,1742.0,38.8,125.1,1578.1,524.0,87.02
2025-02-01,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,new,163,139,132,34,22,12,13,2827.0,104.5,299.0,2423.5,875.0,0.0
2025-02-02,Direct,direct,none,Unassigned,tablet,Madinah,visa,returning,125,99,80,15,7,4,5,1205.0,65.8,0.0,1139.2,399.0,0.0
2025-02-02,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,new,149,132,122,32,18,12,14,3026.0,66.6,0.0,2959.4,935.0,0.0
2025-02-02,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,new,153,130,122,33,23,17,17,3813.0,48.8,299.0,3465.2,1205.0,0.0
2025-02-03,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,new,96,84,69,20,11,6,6,1404.0,0.0,279.0,1125.0,448.0,92.69
2025-02-03,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,new,98,78,68,15,9,5,5,1035.0,51.7,0.0,983.3,305.0,0.0
2025-02-03,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,new,101,81,80,19,11,6,6,1284.0,43.8,0.0,1240.2,392.0,121.86
2025-02-04,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,new,143,127,110,31,17,12,13,2827.0,38.8,170.1,2618.1,875.0,0.0
2025-02-04,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,new,96,77,65,12,7,4,6,1334.0,95.6,0.0,1238.4,430.0,0.0
2025-02-04,Direct,direct,none,Unassigned,mobile,Madinah,mada,returning,165,145,114,27,18,13,14,2986.0,67.7,527.0,2391.3,918.0,0.0
2025-02-05,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,new,159,122,113,20,11,6,6,1624.0,0.0,279.0,1345.0,539.0,0.0
2025-02-05,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,returning,110,83,85,19,13,8,10,2150.0,61.7,0.0,2088.3,666.0,146.8
2025-02-05,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,new,165,143,131,25,17,11,11,2389.0,103.5,125.1,2160.4,746.0,156.2
2025-02-06,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,returning,152,114,117,31,19,13,16,3694.0,82.6,159.0,3452.4,1137.0,0.0
2025-02-06,Direct,direct,none,Unassigned,desktop,Jeddah,stc_pay,new,150,115,101,21,11,6,6,1284.0,13.9,125.1,1145.0,392.0,0.0
2025-02-06,Email,newsletter,email,Lifecycle,tablet,Dammam,visa,new,140,107,115,22,14,9,9,2081.0,32.9,0.0,2048.1,667.0,0.0
2025-02-07,Paid Search,google,cpc,KSA Growth,desktop,Dammam,visa,new,113,87,92,23,14,8,9,2251.0,120.6,0.0,2130.4,723.0,100.88
2025-02-07,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,mada,new,95,80,76,16,11,7,8,1652.0,37.7,299.0,1315.3,515.0,74.58
2025-02-07,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,mastercard,new,139,120,91,23,15,8,9,1901.0,0.0,0.0,1901.0,581.0,0.0
2025-02-08,Direct,direct,none,Unassigned,tablet,Madinah,mastercard,new,121,91,86,20,12,7,9,1991.0,85.7,0.0,1905.3,619.0,0.0
2025-02-08,Email,newsletter,email,Lifecycle,mobile,Khobar,apple_pay,new,100,84,64,12,7,4,4,736.0,17.9,0.0,718.1,211.0,0.0
2025-02-08,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,stc_pay,returning,109,87,76,15,8,5,5,1035.0,13.9,189.0,832.1,321.0,0.0
2025-02-09,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,stc_pay,new,98,82,70,16,9,5,5,1125.0,0.0,0.0,1125.0,349.0,133.56
2025-02-09,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,visa,returning,133,102,104,22,15,10,10,2330.0,71.7,478.0,1780.3,738.0,0.0
2025-02-09,Paid Search,google,cpc,KSA Growth,tablet,Dammam,mada,new,83,68,59,14,7,4,4,1136.0,29.9,0.0,1106.1,375.0,115.01
2025-02-10,Email,newsletter,email,Lifecycle,desktop,Dammam,mada,returning,144,120,96,27,14,10,10,2170.0,62.7,0.0,2107.3,664.0,0.0
2025-02-10,Organic Search,google,organic,Always-on SEO,tablet,Makkah,mastercard,new,130,116,102,25,17,12,13,2887.0,29.9,0.0,2857.1,901.0,0.0
2025-02-10,Direct,direct,none,Unassigned,mobile,Madinah,apple_pay,new,95,85,61,17,10,6,7,1483.0,60.7,0.0,1422.3,447.0,0.0
2025-02-11,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,apple_pay,new,149,116,104,21,13,7,7,1393.0,18.9,0.0,1374.1,422.0,0.0
2025-02-11,Paid Search,google,cpc,KSA Growth,mobile,Khobar,stc_pay,new,124,106,89,17,11,8,9,2061.0,0.0,329.0,1732.0,657.0,101.03
2025-02-11,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,visa,new,88,67,66,19,11,6,7,1953.0,35.8,0.0,1917.2,660.0,64.2
2025-02-12,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,visa,new,155,124,100,23,13,9,10,2280.0,27.9,0.0,2252.1,728.0,0.0
2025-02-12,Direct,direct,none,Unassigned,desktop,Jeddah,mada,new,98,85,77,15,9,5,5,1225.0,28.8,0.0,1196.2,399.0,0.0
2025-02-12,Email,newsletter,email,Lifecycle,tablet,Dammam,mastercard,returning,137,119,90,20,11,7,7,1363.0,17.9,0.0,1345.1,395.0,0.0
2025-02-13,Paid Search,google,cpc,KSA Growth,desktop,Dammam,mastercard,new,163,145,124,25,16,12,12,2688.0,34.8,0.0,2653.2,840.0,207.58
2025-02-13,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,apple_pay,returning,129,103,102,19,12,7,7,1463.0,13.9,0.0,1449.1,441.0,106.04
2025-02-13,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,stc_pay,new,113,91,77,15,10,7,8,1932.0,46.8,0.0,1885.2,618.0,0.0
2025-02-14,Direct,direct,none,Unassigned,tablet,Madinah,stc_pay,returning,99,84,79,16,9,7,8,1712.0,57.7,189.0,1465.3,526.0,0.0
2025-02-14,Email,newsletter,email,Lifecycle,mobile,Khobar,visa,new,93,79,65,12,6,4,4,966.0,32.9,0.0,933.1,308.0,0.0
2025-02-14,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mada,new,156,136,110,25,13,8,8,1732.0,8.9,299.0,1424.1,538.0,0.0
2025-02-15,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mada,new,88,79,72,15,8,5,5,1225.0,0.0,0.0,1225.0,399.0,64.1
2025-02-15,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,mastercard,new,112,86,80,21,14,8,9,2021.0,47.8,0.0,1973.2,637.0,0.0
2025-02-15,Paid Search,google,cpc,KSA Growth,tablet,Dammam,apple_pay,new,123,94,89,25,15,8,8,1762.0,24.9,0.0,1737.1,536.0,159.16
2025-02-16,Email,newsletter,email,Lifecycle,desktop,Dammam,apple_pay,new,111,90,73,14,10,5,5,975.0,24.9,0.0,950.1,277.0,0.0
2025-02-16,Organic Search,google,organic,Always-on SEO,tablet,Makkah,stc_pay,new,133,112,88,19,11,6,7,1453.0,50.7,0.0,1402.3,441.0,0.0
2025-02-16,Direct,direct,none,Unassigned,mobile,Madinah,visa,returning,124,101,82,17,11,8,10,2150.0,55.7,0.0,2094.3,654.0,0.0
2025-02-17,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,visa,new,99,78,69,15,9,6,6,1624.0,0.0,0.0,1624.0,539.0,0.0
2025-02-17,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mada,returning,164,143,123,35,22,12,13,2877.0,37.8,0.0,2839.2,895.0,193.24
2025-02-17,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,mastercard,new,121,89,88,21,11,6,6,1064.0,0.0,0.0,1064.0,301.0,161.95
2025-02-18,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mastercard,returning,87,74,61,13,6,4,5,1115.0,42.8,0.0,1072.2,332.0,0.0
2025-02-18,Direct,direct,none,Unassigned,desktop,Jeddah,apple_pay,new,132,104,98,21,10,7,8,1892.0,49.8,159.0,1683.2,596.0,0.0
2025-02-18,Email,newsletter,email,Lifecycle,tablet,Dammam,stc_pay,new,86,70,57,11,6,4,4,956.0,60.8,0.0,895.2,302.0,0.0
2025-02-19,Paid Search,google,cpc,KSA Growth,desktop,Dammam,stc_pay,new,99,78,80,19,12,8,8,1952.0,68.7,0.0,1883.3,629.0,70.11
2025-02-19,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,visa,new,116,100,95,26,17,11,12,2538.0,88.7,0.0,2449.3,768.0,102.09
2025-02-19,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,mada,new,80,67,54,11,6,4,4,926.0,8.9,0.0,917.1,304.0,0.0
2025-02-20,Direct,direct,none,Unassigned,tablet,Madinah,mada,new,97,80,64,18,11,6,7,1573.0,0.0,398.0,1175.0,497.0,0.0
2025-02-20,Email,newsletter,email,Lifecycle,mobile,Khobar,mastercard,new,156,135,123,33,19,11,12,2668.0,98.5,0.0,2569.5,829.0,0.0
2025-02-20,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,apple_pay,returning,90,77,71,21,11,7,8,1652.0,48.8,0.0,1603.2,500.0,0.0
2025-02-21,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,apple_pay,new,112,83,78,18,12,8,8,1762.0,0.0,0.0,1762.0,536.0,90.77
2025-02-21,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,stc_pay,returning,109,92,90,26,16,10,11,2519.0,27.9,0.0,2491.1,793.0,0.0
2025-02-21,Paid Search,google,cpc,KSA Growth,tablet,Dammam,visa,new,97,70,75,14,9,5,5,1225.0,29.9,0.0,1195.1,399.0,79.19
2025-02-22,Email,newsletter,email,Lifecycle,desktop,Dammam,visa,returning,79,64,60,13,8,5,5,1295.0,19.9,0.0,1275.1,418.0,0.0
2025-02-22,Organic Search,google,organic,Always-on SEO,tablet,Makkah,mada,new,161,140,108,21,12,8,8,1722.0,101.6,0.0,1620.4,532.0,0.0
2025-02-22,Direct,direct,none,Unassigned,mobile,Madinah,mastercard,new,105,90,78,17,11,8,8,1742.0,18.9,0.0,1723.1,524.0,0.0
2025-02-23,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mastercard,new,147,118,95,22,14,8,8,1552.0,17.9,0.0,1534.1,465.0,0.0
2025-02-23,Paid Search,google,cpc,KSA Growth,mobile,Khobar,apple_pay,new,118,100,78,19,12,8,8,1872.0,27.9,0.0,1844.1,602.0,170.04
2025-02-23,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,stc_pay,new,89,66,67,19,10,6,6,1624.0,55.8,0.0,1568.2,539.0,112.82
2025-02-24,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,stc_pay,new,139,100,100,27,15,9,9,2081.0,18.9,688.0,1374.1,667.0,0.0
2025-02-24,Direct,direct,none,Unassigned,desktop,Jeddah,visa,new,124,112,95,18,12,9,9,2011.0,19.9,0.0,1991.1,621.0,0.0
2025-02-24,Email,newsletter,email,Lifecycle,tablet,Dammam,mada,returning,113,85,82,16,10,6,6,1174.0,17.9,0.0,1156.1,340.0,0.0
2025-02-25,Paid Search,google,cpc,KSA Growth,desktop,Dammam,mada,new,92,76,73,18,12,7,8,1712.0,35.9,0.0,1676.1,526.0,90.61
2025-02-25,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,mastercard,returning,138,117,95,20,11,7,7,1463.0,0.0,0.0,1463.0,441.0,181.47
2025-02-25,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,apple_pay,new,135,117,96,27,16,12,12,2688.0,92.6,0.0,2595.4,840.0,0.0
