date,query,page,country,device,clicks,impressions,ctr,average_position,is_branded
2025-01-17,office software ksa,/collections/productivity,SA,tablet,12,211,0.056872,10.36,False
2025-01-18,ai tools arabic,/,SA,tablet,31,324,0.095679,7.8,False
2025-01-18,ai tools arabic,/collections/productivity,SA,mobile,36,383,0.093995,13.38,False
2025-01-19,primeorder software,/,SA,mobile,41,401,0.102244,4.03,True
2025-01-19,digital subscriptions saudi,/collections/productivity,SA,desktop,37,335,0.110448,7.33,False
2025-01-20,office software ksa,/,SA,desktop,12,220,0.054545,12.42,False
2025-01-20,office software ksa,/collections/productivity,SA,tablet,16,228,0.070175,16.4,False
2025-01-21,ai tools arabic,/,SA,tablet,17,160,0.10625,8.63,False
2025-01-21,ai tools arabic,/collections/productivity,SA,mobile,28,297,0.094276,6.69,False
2025-01-22,primeorder software,/,SA,mobile,28,296,0.094595,9.58,True
2025-01-22,digital subscriptions saudi,/collections/productivity,SA,desktop,9,144,0.0625,12.7,False
2025-01-23,office software ksa,/,SA,desktop,33,402,0.08209,17.53,False
2025-01-23,office software ksa,/collections/productivity,SA,tablet,19,490,0.038776,11.41,False
2025-01-24,ai tools arabic,/,SA,tablet,7,270,0.025926,3.97,False
2025-01-24,ai tools arabic,/collections/productivity,SA,mobile,48,440,0.109091,12.22,False
2025-01-25,primeorder software,/,SA,mobile,44,398,0.110553,16.0,True
2025-01-25,digital subscriptions saudi,/collections/productivity,SA,desktop,11,336,0.032738,4.94,False
2025-01-26,office software ksa,/,SA,desktop,25,364,0.068681,11.45,False
2025-01-26,office software ksa,/collections/productivity,SA,tablet,9,152,0.059211,12.97,False
2025-01-27,ai tools arabic,/,SA,tablet,14,226,0.061947,11.25,False
2025-01-27,ai tools arabic,/collections/productivity,SA,mobile,37,444,0.083333,5.88,False
2025-01-28,primeorder software,/,SA,mobile,9,134,0.067164,8.45,True
2025-01-28,digital subscriptions saudi,/collections/productivity,SA,desktop,12,161,0.074534,10.24,False
2025-01-29,office software ksa,/,SA,desktop,23,252,0.09127,13.6,False
2025-01-29,office software ksa,/collections/productivity,SA,tablet,24,228,0.105263,12.7,False
2025-01-30,ai tools arabic,/,SA,tablet,4,125,0.032,9.43,False
2025-01-30,ai tools arabic,/collections/productivity,SA,mobile,11,182,0.06044,7.95,False
2025-01-31,primeorder software,/,SA,mobile,19,261,0.072797,9.11,True
2025-01-31,digital subscriptions saudi,/collections/productivity,SA,desktop,13,189,0.068783,10.17,False
2025-02-01,office software ksa,/,SA,desktop,9,376,0.023936,18.02,False
2025-02-01,office software ksa,/collections/productivity,SA,tablet,36,392,0.091837,12.63,False
2025-02-02,ai tools arabic,/,SA,tablet,12,133,0.090226,12.28,False
2025-02-02,ai tools arabic,/collections/productivity,SA,mobile,9,100,0.09,6.76,False
2025-02-03,primeorder software,/,SA,mobile,21,459,0.045752,8.52,True
2025-02-03,digital subscriptions saudi,/collections/productivity,SA,desktop,15,268,0.05597,16.28,False
2025-02-04,office software ksa,/,SA,desktop,5,158,0.031646,16.33,False
2025-02-04,office software ksa,/collections/productivity,SA,tablet,12,244,0.04918,9.99,False
2025-02-05,ai tools arabic,/,SA,tablet,34,438,0.077626,5.0,False
2025-02-05,ai tools arabic,/collections/productivity,SA,mobile,15,479,0.031315,7.48,False
2025-02-06,primeorder software,/,SA,mobile,38,437,0.086957,17.41,True
2025-02-06,digital subscriptions saudi,/collections/productivity,SA,desktop,30,313,0.095847,16.55,False
2025-02-07,office software ksa,/,SA,desktop,20,247,0.080972,4.31,False
2025-02-07,office software ksa,/collections/productivity,SA,tablet,26,368,0.070652,13.5,False
2025-02-08,ai tools arabic,/,SA,tablet,9,118,0.076271,12.04,False
2025-02-08,ai tools arabic,/collections/productivity,SA,mobile,37,384,0.096354,12.04,False
2025-02-09,primeorder software,/,SA,mobile,20,316,0.063291,16.21,True
2025-02-09,digital subscriptions saudi,/collections/productivity,SA,desktop,12,187,0.064171,11.02,False
2025-02-10,office software ksa,/,SA,desktop,15,256,0.058594,3.48,False
2025-02-10,office software ksa,/collections/productivity,SA,tablet,18,456,0.039474,15.92,False
2025-02-11,ai tools arabic,/,SA,tablet,40,434,0.092166,17.56,False
2025-02-11,ai tools arabic,/collections/productivity,SA,mobile,15,174,0.086207,10.28,False
2025-02-12,primeorder software,/,SA,mobile,26,424,0.061321,16.01,True
2025-02-12,digital subscriptions saudi,/collections/productivity,SA,desktop,23,425,0.054118,10.55,False
2025-02-13,office software ksa,/,SA,desktop,41,452,0.090708,11.38,False
2025-02-13,office software ksa,/collections/productivity,SA,tablet,15,507,0.029586,17.57,False
2025-02-14,ai tools arabic,/,SA,tablet,24,245,0.097959,5.2,False
2025-02-14,ai tools arabic,/collections/productivity,SA,mobile,9,228,0.039474,4.47,False
2025-02-15,primeorder software,/,SA,mobile,52,466,0.111588,16.12,True
2025-02-15,digital subscriptions saudi,/collections/productivity,SA,desktop,24,243,0.098765,10.1,False
2025-02-16,office software ksa,/,SA,desktop,7,132,0.05303,9.44,False
2025-02-16,office software ksa,/collections/productivity,SA,tablet,13,359,0.036212,16.8,False
2025-02-17,ai tools arabic,/,SA,tablet,25,243,0.102881,11.26,False
2025-02-17,ai tools arabic,/collections/productivity,SA,mobile,10,121,0.082645,12.09,False
2025-02-18,primeorder software,/,SA,mobile,10,138,0.072464,12.71,True
2025-02-18,digital subscriptions saudi,/collections/productivity,SA,desktop,36,346,0.104046,15.97,False
2025-02-19,office software ksa,/,SA,desktop,9,308,0.029221,11.95,False
2025-02-19,office software ksa,/collections/productivity,SA,tablet,26,247,0.105263,10.7,False
2025-02-20,ai tools arabic,/,SA,tablet,19,441,0.043084,16.57,False
2025-02-20,ai tools arabic,/collections/productivity,SA,mobile,16,461,0.034707,13.09,False
2025-02-21,primeorder software,/,SA,mobile,7,112,0.0625,8.15,True
2025-02-21,digital subscriptions saudi,/collections/productivity,SA,desktop,18,311,0.057878,12.0,False
2025-02-22,office software ksa,/,SA,desktop,18,178,0.101124,11.28,False
2025-02-22,office software ksa,/collections/productivity,SA,tablet,10,419,0.023866,13.86,False
2025-02-23,ai tools arabic,/,SA,tablet,25,452,0.05531,14.08,False
2025-02-23,ai tools arabic,/collections/productivity,SA,mobile,16,449,0.035635,8.96,False
2025-02-24,primeorder software,/,SA,mobile,32,291,0.109966,7.18,True
2025-02-24,digital subscriptions saudi,/collections/productivity,SA,desktop,5,199,0.025126,16.31,False
2025-02-25,office software ksa,/,SA,desktop,8,173,0.046243,7.61,False
2025-02-25,office software ksa,/collections/productivity,SA,tablet,12,392,0.030612,9.37,False
2025-02-26,ai tools arabic,/,SA,tablet,11,139,0.079137,11.21,False
2025-02-26,ai tools arabic,/collections/productivity,SA,mobile,35,346,0.101156,9.16,False
2025-02-27,primeorder software,/,SA,mobile,19,246,0.077236,5.66,True
2025-02-27,digital subscriptions saudi,/collections/productivity,SA,desktop,48,455,0.105495,14.08,False
2025-02-28,office software ksa,/,SA,desktop,5,153,0.03268,14.24,False
2025-02-28,office software ksa,/collections/productivity,SA,tablet,14,345,0.04058,4.79,False
2025-03-01,ai tools arabic,/,SA,tablet,25,339,0.073746,13.65,False
2025-03-01,ai tools arabic,/collections/productivity,SA,mobile,29,601,0.048253,11.54,False
2025-03-02,primeorder software,/,SA,mobile,8,221,0.036199,3.5,True
2025-03-02,digital subscriptions saudi,/collections/productivity,SA,desktop,43,458,0.093886,3.47,False
2025-03-03,office software ksa,/,SA,desktop,27,323,0.083591,17.18,False
2025-03-03,office software ksa,/collections/productivity,SA,tablet,27,432,0.0625,7.42,False
2025-03-04,ai tools arabic,/,SA,tablet,64,630,0.101587,8.45,False
2025-03-04,ai tools arabic,/collections/productivity,SA,mobile,32,506,0.063241,3.85,False
2025-03-05,primeorder software,/,SA,mobile,13,291,0.044674,12.58,True
2025-03-05,digital subscriptions saudi,/collections/productivity,SA,desktop,51,510,0.1,15.47,False
2025-03-06,office software ksa,/,SA,desktop,5,148,0.033784,10.92,False
2025-03-06,office software ksa,/collections/productivity,SA,tablet,23,549,0.041894,16.44,False
2025-03-07,ai tools arabic,/,SA,tablet,21,225,0.093333,11.43,False
2025-03-07,ai tools arabic,/collections/productivity,SA,mobile,47,512,0.091797,13.35,False
2025-03-08,primeorder software,/,SA,mobile,40,427,0.093677,3.78,True
2025-03-08,digital subscriptions saudi,/collections/productivity,SA,desktop,54,487,0.110883,10.78,False
2025-03-09,office software ksa,/,SA,desktop,6,145,0.041379,6.0,False
2025-03-09,office software ksa,/collections/productivity,SA,tablet,25,355,0.070423,13.49,False
2025-03-10,ai tools arabic,/,SA,tablet,18,634,0.028391,14.39,False
2025-03-10,ai tools arabic,/collections/productivity,SA,mobile,30,514,0.058366,7.42,False
2025-03-11,primeorder software,/,SA,mobile,52,570,0.091228,17.27,True
2025-03-11,digital subscriptions saudi,/collections/productivity,SA,desktop,37,429,0.086247,8.08,False
2025-03-12,office software ksa,/,SA,desktop,14,468,0.029915,4.28,False
2025-03-12,office software ksa,/collections/productivity,SA,tablet,43,381,0.112861,4.14,False
2025-03-13,ai tools arabic,/,SA,tablet,26,660,0.039394,5.09,False
2025-03-13,ai tools arabic,/collections/productivity,SA,mobile,69,657,0.105023,8.92,False
2025-03-14,primeorder software,/,SA,mobile,34,684,0.049708,5.33,True
2025-03-14,digital subscriptions saudi,/collections/productivity,SA,desktop,49,542,0.090406,16.63,False
2025-03-15,office software ksa,/,SA,desktop,5,174,0.028736,5.14,False
2025-03-15,office software ksa,/collections/productivity,SA,tablet,12,339,0.035398,7.87,False
2025-03-16,ai tools arabic,/,SA,tablet,8,128,0.0625,17.85,False
2025-03-16,ai tools arabic,/collections/productivity,SA,mobile,5,190,0.026316,8.11,False
2025-03-17,primeorder software,/,SA,mobile,18,426,0.042254,15.37,True
2025-03-17,digital subscriptions saudi,/collections/productivity,SA,desktop,33,561,0.058824,4.89,False
2025-03-18,office software ksa,/,SA,desktop,21,568,0.036972,8.49,False
2025-03-18,office software ksa,/collections/productivity,SA,tablet,21,509,0.041257,4.88,False
2025-03-19,ai tools arabic,/,SA,tablet,23,374,0.061497,9.96,False
2025-03-19,ai tools arabic,/collections/productivity,SA,mobile,19,266,0.071429,14.41,False
2025-03-20,primeorder software,/,SA,mobile,70,623,0.11236,5.67,True
2025-03-20,digital subscriptions saudi,/collections/productivity,SA,desktop,13,273,0.047619,3.29,False
2025-03-21,office software ksa,/,SA,desktop,46,446,0.103139,14.4,False
2025-03-21,office software ksa,/collections/productivity,SA,tablet,18,624,0.028846,18.37,False
2025-03-22,ai tools arabic,/,SA,tablet,27,475,0.056842,7.38,False
2025-03-22,ai tools arabic,/collections/productivity,SA,mobile,19,178,0.106742,12.06,False
2025-03-23,primeorder software,/,SA,mobile,40,558,0.071685,12.76,True
2025-03-23,digital subscriptions saudi,/collections/productivity,SA,desktop,23,340,0.067647,12.9,False
2025-03-24,office software ksa,/,SA,desktop,57,574,0.099303,6.96,False
2025-03-24,office software ksa,/collections/productivity,SA,tablet,17,576,0.029514,10.27,False
2025-03-25,ai tools arabic,/,SA,tablet,38,381,0.099738,15.38,False
2025-03-25,ai tools arabic,/collections/productivity,SA,mobile,18,430,0.04186,10.25,False
2025-03-26,primeorder software,/,SA,mobile,39,348,0.112069,16.52,True
2025-03-26,digital subscriptions saudi,/collections/productivity,SA,desktop,34,528,0.064394,5.63,False
2025-03-27,office software ksa,/,SA,desktop,63,680,0.092647,10.06,False
2025-03-27,office software ksa,/collections/productivity,SA,tablet,59,540,0.109259,8.07,False
2025-03-28,ai tools arabic,/,SA,tablet,23,306,0.075163,16.92,False
2025-03-28,ai tools arabic,/collections/productivity,SA,mobile,47,510,0.092157,7.74,False
2025-03-29,primeorder software,/,SA,mobile,26,330,0.078788,6.48,True
2025-03-29,digital subscriptions saudi,/collections/productivity,SA,desktop,32,415,0.077108,12.61,False
2025-03-30,office software ksa,/,SA,desktop,28,360,0.077778,7.67,False
2025-03-30,office software ksa,/collections/productivity,SA,tablet,26,277,0.093863,6.68,False
2025-03-31,ai tools arabic,/,SA,tablet,13,409,0.031785,7.62,False
2025-03-31,ai tools arabic,/collections/productivity,SA,mobile,23,249,0.092369,11.88,False
2025-04-01,primeorder software,/,SA,mobile,40,437,0.091533,6.22,True
2025-04-01,digital subscriptions saudi,/collections/productivity,SA,desktop,15,144,0.104167,5.12,False
2025-04-02,office software ksa,/,SA,desktop,52,480,0.108333,17.2,False
2025-04-02,office software ksa,/collections/productivity,SA,tablet,20,406,0.049261,13.58,False
2025-04-03,ai tools arabic,/,SA,tablet,26,301,0.086379,16.95,False
2025-04-03,ai tools arabic,/collections/productivity,SA,mobile,39,398,0.09799,3.57,False
2025-04-04,primeorder software,/,SA,mobile,36,401,0.089776,13.01,True
2025-04-04,digital subscriptions saudi,/collections/productivity,SA,desktop,51,509,0.100196,9.7,False
2025-04-05,office software ksa,/,SA,desktop,9,264,0.034091,10.87,False
2025-04-05,office software ksa,/collections/productivity,SA,tablet,13,192,0.067708,8.9,False
2025-04-06,ai tools arabic,/,SA,tablet,3,111,0.027027,12.36,False
2025-04-06,ai tools arabic,/collections/productivity,SA,mobile,43,440,0.097727,12.99,False
2025-04-07,primeorder software,/,SA,mobile,31,421,0.073634,18.28,True
2025-04-07,digital subscriptions saudi,/collections/productivity,SA,desktop,11,314,0.035032,16.46,False
2025-04-08,office software ksa,/,SA,desktop,24,320,0.075,12.57,False
2025-04-08,office software ksa,/collections/productivity,SA,tablet,8,278,0.028777,7.45,False
2025-04-09,ai tools arabic,/,SA,tablet,26,408,0.063725,14.89,False
2025-04-09,ai tools arabic,/collections/productivity,SA,mobile,27,427,0.063232,14.68,False
2025-04-10,primeorder software,/,SA,mobile,15,174,0.086207,5.09,True
2025-04-10,digital subscriptions saudi,/collections/productivity,SA,desktop,3,138,0.021739,7.48,False
2025-04-11,office software ksa,/,SA,desktop,11,270,0.040741,17.06,False
2025-04-11,office software ksa,/collections/productivity,SA,tablet,11,153,0.071895,11.55,False
2025-04-12,ai tools arabic,/,SA,tablet,9,216,0.041667,4.91,False
2025-04-12,ai tools arabic,/collections/productivity,SA,mobile,8,174,0.045977,16.86,False
2025-04-13,primeorder software,/,SA,mobile,11,122,0.090164,15.41,True
2025-04-13,digital subscriptions saudi,/collections/productivity,SA,desktop,13,134,0.097015,16.87,False
2025-04-14,office software ksa,/,SA,desktop,16,235,0.068085,7.58,False
2025-04-14,office software ksa,/collections/productivity,SA,tablet,15,169,0.088757,15.97,False
2025-04-15,ai tools arabic,/,SA,tablet,7,247,0.02834,3.51,False
2025-04-15,ai tools arabic,/collections/productivity,SA,mobile,50,461,0.10846,6.81,False
2025-04-16,primeorder software,/,SA,mobile,7,185,0.037838,9.95,True
2025-04-16,digital subscriptions saudi,/collections/productivity,SA,desktop,15,362,0.041436,7.74,False
2025-04-17,office software ksa,/,SA,desktop,18,333,0.054054,4.81,False
2025-04-17,office software ksa,/collections/productivity,SA,tablet,20,237,0.084388,16.3,False
2025-04-18,ai tools arabic,/,SA,tablet,33,471,0.070064,3.46,False
2025-04-18,ai tools arabic,/collections/productivity,SA,mobile,8,222,0.036036,7.35,False
2025-04-19,primeorder software,/,SA,mobile,25,228,0.109649,17.25,True
2025-04-19,digital subscriptions saudi,/collections/productivity,SA,desktop,3,127,0.023622,13.17,False
2025-04-20,office software ksa,/,SA,desktop,42,394,0.106599,13.0,False
2025-04-20,office software ksa,/collections/productivity,SA,tablet,19,442,0.042986,17.7,False
2025-04-21,ai tools arabic,/,SA,tablet,26,381,0.068241,8.28,False
2025-04-21,ai tools arabic,/collections/productivity,SA,mobile,34,457,0.074398,7.02,False
2025-04-22,primeorder software,/,SA,mobile,41,377,0.108753,6.51,True
2025-04-22,digital subscriptions saudi,/collections/productivity,SA,desktop,6,161,0.037267,3.81,False
2025-04-23,office software ksa,/,SA,desktop,24,475,0.050526,9.28,False
2025-04-23,office software ksa,/collections/productivity,SA,tablet,27,295,0.091525,10.36,False
2025-04-24,ai tools arabic,/,SA,tablet,9,354,0.025424,7.42,False
2025-04-24,ai tools arabic,/collections/productivity,SA,mobile,13,154,0.084416,12.43,False
2025-04-25,primeorder software,/,SA,mobile,28,253,0.110672,4.83,True
2025-04-25,digital subscriptions saudi,/collections/productivity,SA,desktop,14,333,0.042042,3.79,False
2025-04-26,office software ksa,/,SA,desktop,23,395,0.058228,10.73,False
2025-04-26,office software ksa,/collections/productivity,SA,tablet,13,389,0.033419,12.75,False
2025-04-27,ai tools arabic,/,SA,tablet,14,169,0.08284,3.89,False
2025-04-27,ai tools arabic,/collections/productivity,SA,mobile,22,387,0.056848,16.83,False
2025-04-28,primeorder software,/,SA,mobile,33,324,0.101852,5.43,True
2025-04-28,digital subscriptions saudi,/collections/productivity,SA,desktop,29,272,0.106618,8.25,False
2025-04-29,office software ksa,/,SA,desktop,16,440,0.036364,5.59,False
2025-04-29,office software ksa,/collections/productivity,SA,tablet,20,189,0.10582,11.36,False
2025-04-30,ai tools arabic,/,SA,tablet,9,333,0.027027,10.74,False
2025-04-30,ai tools arabic,/collections/productivity,SA,mobile,9,249,0.036145,12.95,False
2025-05-01,primeorder software,/,SA,mobile,7,149,0.04698,7.64,True
2025-05-01,digital subscriptions saudi,/collections/productivity,SA,desktop,7,174,0.04023,5.48,False
2025-05-02,office software ksa,/,SA,desktop,30,447,0.067114,4.3,False
2025-05-02,office software ksa,/collections/productivity,SA,tablet,37,402,0.09204,8.76,False
2025-05-03,ai tools arabic,/,SA,tablet,7,123,0.056911,5.18,False
2025-05-03,ai tools arabic,/collections/productivity,SA,mobile,12,339,0.035398,3.28,False
2025-05-04,primeorder software,/,SA,mobile,18,349,0.051576,6.01,True
2025-05-04,digital subscriptions saudi,/collections/productivity,SA,desktop,4,98,0.040816,8.47,False
2025-05-05,office software ksa,/,SA,desktop,31,411,0.075426,8.48,False
2025-05-05,office software ksa,/collections/productivity,SA,tablet,13,396,0.032828,8.76,False
2025-05-06,ai tools arabic,/,SA,tablet,11,359,0.030641,8.96,False
2025-05-06,ai tools arabic,/collections/productivity,SA,mobile,8,237,0.033755,16.47,False
2025-05-07,primeorder software,/,SA,mobile,38,481,0.079002,6.2,True
2025-05-07,digital subscriptions saudi,/collections/productivity,SA,desktop,35,332,0.105422,6.48,False
2025-05-08,office software ksa,/,SA,desktop,27,250,0.108,13.46,False
2025-05-08,office software ksa,/collections/productivity,SA,tablet,17,329,0.051672,10.89,False
2025-05-09,ai tools arabic,/,SA,tablet,6,122,0.04918,8.57,False
2025-05-09,ai tools arabic,/collections/productivity,SA,mobile,3,111,0.027027,4.55,False
2025-05-10,primeorder software,/,SA,mobile,13,216,0.060185,16.87,True
2025-05-10,digital subscriptions saudi,/collections/productivity,SA,desktop,15,160,0.09375,16.07,False
2025-05-11,office software ksa,/,SA,desktop,24,238,0.10084,6.74,False
2025-05-11,office software ksa,/collections/productivity,SA,tablet,6,256,0.023438,13.88,False
2025-05-12,ai tools arabic,/,SA,tablet,43,398,0.10804,13.81,False
2025-05-12,ai tools arabic,/collections/productivity,SA,mobile,14,273,0.051282,16.69,False
2025-05-13,primeorder software,/,SA,mobile,5,143,0.034965,13.19,True
2025-05-13,digital subscriptions saudi,/collections/productivity,SA,desktop,33,304,0.108553,7.33,False
2025-05-14,office software ksa,/,SA,desktop,24,267,0.089888,4.22,False
2025-05-14,office software ksa,/collections/productivity,SA,tablet,9,194,0.046392,9.46,False
2025-05-15,ai tools arabic,/,SA,tablet,17,258,0.065891,14.36,False
2025-05-15,ai tools arabic,/collections/productivity,SA,mobile,32,454,0.070485,4.73,False
2025-05-16,primeorder software,/,SA,mobile,15,316,0.047468,15.27,True
2025-05-16,digital subscriptions saudi,/collections/productivity,SA,desktop,18,234,0.076923,15.03,False
2025-05-17,office software ksa,/,SA,desktop,11,300,0.036667,14.98,False
2025-05-17,office software ksa,/collections/productivity,SA,tablet,23,210,0.109524,15.43,False
2025-05-18,ai tools arabic,/,SA,tablet,9,277,0.032491,17.7,False
2025-05-18,ai tools arabic,/collections/productivity,SA,mobile,15,446,0.033632,4.19,False
2025-05-19,primeorder software,/,SA,mobile,25,450,0.055556,10.78,True
2025-05-19,digital subscriptions saudi,/collections/productivity,SA,desktop,38,349,0.108883,17.72,False
2025-05-20,office software ksa,/,SA,desktop,40,466,0.085837,15.3,False
2025-05-20,office software ksa,/collections/productivity,SA,tablet,17,322,0.052795,5.23,False
2025-05-21,ai tools arabic,/,SA,tablet,44,442,0.099548,16.68,False
2025-05-21,ai tools arabic,/collections/productivity,SA,mobile,13,175,0.074286,5.09,False
2025-05-22,primeorder software,/,SA,mobile,9,146,0.061644,15.11,True
2025-05-22,digital subscriptions saudi,/collections/productivity,SA,desktop,27,487,0.055441,5.56,False
2025-05-23,office software ksa,/,SA,desktop,17,196,0.086735,14.55,False
2025-05-23,office software ksa,/collections/productivity,SA,tablet,10,253,0.039526,17.34,False
2025-05-24,ai tools arabic,/,SA,tablet,11,113,0.097345,17.68,False
2025-05-24,ai tools arabic,/collections/productivity,SA,mobile,3,128,0.023438,3.84,False
2025-05-25,primeorder software,/,SA,mobile,4,143,0.027972,10.14,True
2025-05-25,digital subscriptions saudi,/collections/productivity,SA,desktop,16,424,0.037736,6.04,False
2025-05-26,office software ksa,/,SA,desktop,8,102,0.078431,17.08,False
2025-05-26,office software ksa,/collections/productivity,SA,tablet,27,247,0.109312,18.11,False
2025-05-27,ai tools arabic,/,SA,tablet,14,410,0.034146,6.77,False
2025-05-27,ai tools arabic,/collections/productivity,SA,mobile,31,275,0.112727,7.59,False
2025-05-28,primeorder software,/,SA,mobile,24,410,0.058537,14.0,True
2025-05-28,digital subscriptions saudi,/collections/productivity,SA,desktop,5,209,0.023923,11.14,False
2025-05-29,office software ksa,/,SA,desktop,21,403,0.052109,7.7,False
2025-05-29,office software ksa,/collections/productivity,SA,tablet,4,103,0.038835,17.79,False
2025-05-30,ai tools arabic,/,SA,tablet,24,439,0.05467,8.8,False
2025-05-30,ai tools arabic,/collections/productivity,SA,mobile,32,356,0.089888,14.62,False
2025-05-31,primeorder software,/,SA,mobile,14,370,0.037838,15.81,True
2025-05-31,digital subscriptions saudi,/collections/productivity,SA,desktop,15,320,0.046875,18.1,False
2025-06-01,office software ksa,/,SA,desktop,20,237,0.084388,5.1,False
2025-06-01,office software ksa,/collections/productivity,SA,tablet,16,429,0.037296,8.57,False
2025-06-02,ai tools arabic,/,SA,tablet,11,231,0.047619,16.9,False
2025-06-02,ai tools arabic,/collections/productivity,SA,mobile,18,206,0.087379,7.73,False
2025-06-03,primeorder software,/,SA,mobile,19,420,0.045238,14.51,True
2025-06-03,digital subscriptions saudi,/collections/productivity,SA,desktop,11,123,0.089431,10.74,False
2025-06-04,office software ksa,/,SA,desktop,21,264,0.079545,10.54,False
2025-06-04,office software ksa,/collections/productivity,SA,tablet,6,155,0.03871,18.33,False
2025-06-05,ai tools arabic,/,SA,tablet,15,439,0.034169,6.8,False
2025-06-05,ai tools arabic,/collections/productivity,SA,mobile,14,304,0.046053,6.38,False
2025-06-06,primeorder software,/,SA,mobile,35,401,0.087282,8.33,True
2025-06-06,digital subscriptions saudi,/collections/productivity,SA,desktop,16,406,0.039409,9.31,False
2025-06-07,office software ksa,/,SA,desktop,10,258,0.03876,13.58,False
2025-06-07,office software ksa,/collections/productivity,SA,tablet,30,340,0.088235,12.44,False
2025-06-08,ai tools arabic,/,SA,tablet,19,286,0.066434,3.96,False
2025-06-08,ai tools arabic,/collections/productivity,SA,mobile,7,286,0.024476,4.98,False
2025-06-09,primeorder software,/,SA,mobile,40,367,0.108992,13.91,True
2025-06-09,digital subscriptions saudi,/collections/productivity,SA,desktop,9,130,0.069231,7.4,False
2025-06-10,office software ksa,/,SA,desktop,7,223,0.03139,14.35,False
2025-06-10,office software ksa,/collections/productivity,SA,tablet,50,459,0.108932,14.97,False
2025-06-11,ai tools arabic,/,SA,tablet,6,137,0.043796,7.66,False
2025-06-11,ai tools arabic,/collections/productivity,SA,mobile,3,149,0.020134,16.68,False
2025-06-12,primeorder software,/,SA,mobile,25,480,0.052083,18.44,True
2025-06-12,digital subscriptions saudi,/collections/productivity,SA,desktop,5,199,0.025126,15.58,False
2025-06-13,office software ksa,/,SA,desktop,10,165,0.060606,12.8,False
2025-06-13,office software ksa,/collections/productivity,SA,tablet,5,163,0.030675,5.16,False
2025-06-14,ai tools arabic,/,SA,tablet,36,428,0.084112,8.25,False
2025-06-14,ai tools arabic,/collections/productivity,SA,mobile,9,287,0.031359,10.18,False
2025-06-15,primeorder software,/,SA,mobile,16,479,0.033403,9.47,True
2025-06-15,digital subscriptions saudi,/collections/productivity,SA,desktop,20,188,0.106383,11.76,False
2025-06-16,office software ksa,/,SA,desktop,46,446,0.103139,4.74,False
2025-06-16,office software ksa,/collections/productivity,SA,tablet,39,388,0.100515,9.91,False
2025-06-17,ai tools arabic,/,SA,tablet,19,222,0.085586,7.58,False
