date,channel,source,medium,campaign,device,sessions,users,product_views,add_to_carts,begin_checkouts,purchases,purchase_revenue_sar,consent_state_coverage
2025-01-26,Affiliates,partners,affiliate,Partner Network,mobile,83,70,58,10,6,5,920.83,0.9728
2025-01-27,Direct,direct,none,Unassigned,tablet,163,126,119,25,16,12,2474.4,0.9639
2025-01-27,Email,newsletter,email,Lifecycle,mobile,79,67,64,17,10,6,1098.24,0.9695
2025-01-27,Organic Search,google,organic,Always-on SEO,desktop,87,69,66,17,9,5,957.31,0.9741
2025-01-28,Paid Social,instagram,paid_social,Creator Offers,mobile,132,109,98,27,14,9,1750.18,0.981
2025-01-28,Affiliates,partners,affiliate,Partner Network,desktop,80,66,54,14,8,5,1268.26,0.9729
2025-01-28,Paid Search,google,cpc,KSA Growth,tablet,91,70,69,14,8,5,1167.46,0.9713
2025-01-29,Email,newsletter,email,Lifecycle,desktop,94,72,65,17,8,6,1562.02,0.9733
2025-01-29,Organic Search,google,organic,Always-on SEO,tablet,141,123,96,19,9,7,1150.18,0.9779
2025-01-29,Direct,direct,none,Unassigned,mobile,121,97,89,24,12,7,1341.41,0.9657
2025-01-30,Affiliates,partners,affiliate,Partner Network,tablet,81,59,58,14,8,5,1079.04,0.9608
2025-01-30,Paid Search,google,cpc,KSA Growth,mobile,138,117,97,19,11,9,2421.6,0.979
2025-01-30,Paid Social,instagram,paid_social,Creator Offers,desktop,132,103,100,18,9,6,2079.55,0.9643
2025-01-31,Organic Search,google,organic,Always-on SEO,mobile,135,107,106,23,12,10,2521.34,0.9639
2025-01-31,Direct,direct,none,Unassigned,desktop,149,126,107,22,11,7,1562.98,0.9914
2025-01-31,Email,newsletter,email,Lifecycle,tablet,83,66,57,13,6,4,766.18,0.9939
2025-02-01,Paid Search,google,cpc,KSA Growth,desktop,107,84,76,17,11,7,1871.42,0.9657
2025-02-01,Paid Social,instagram,paid_social,Creator Offers,tablet,119,92,77,17,11,8,1514.98,0.9793
2025-02-01,Affiliates,partners,affiliate,Partner Network,mobile,159,136,128,32,20,12,2326.56,0.9904
2025-02-02,Direct,direct,none,Unassigned,tablet,122,97,77,14,6,4,1093.63,0.9889
2025-02-02,Email,newsletter,email,Lifecycle,mobile,146,129,118,30,17,12,2841.02,0.9945
2025-02-02,Organic Search,google,organic,Always-on SEO,desktop,149,127,118,31,21,16,3326.59,0.9761
2025-02-03,Paid Social,instagram,paid_social,Creator Offers,mobile,94,82,66,19,10,6,1080.0,0.9871
2025-02-03,Affiliates,partners,affiliate,Partner Network,desktop,96,76,65,14,8,5,943.97,0.9877
2025-02-03,Paid Search,google,cpc,KSA Growth,tablet,98,79,77,18,10,6,1190.59,0.9802
2025-02-04,Email,newsletter,email,Lifecycle,desktop,140,124,106,29,16,12,2513.38,0.9737
2025-02-04,Organic Search,google,organic,Always-on SEO,tablet,94,75,63,11,6,4,1188.86,0.9931
2025-02-04,Direct,direct,none,Unassigned,mobile,161,142,110,25,17,12,2295.65,0.9653
2025-02-05,Affiliates,partners,affiliate,Partner Network,tablet,155,119,109,19,10,6,1291.2,0.9714
2025-02-05,Paid Search,google,cpc,KSA Growth,mobile,107,81,82,18,12,8,2004.77,0.9656
2025-02-05,Paid Social,instagram,paid_social,Creator Offers,desktop,161,140,127,24,16,11,2073.98,0.9644
2025-02-06,Organic Search,google,organic,Always-on SEO,mobile,148,111,113,29,18,12,3314.3,0.9621
2025-02-06,Direct,direct,none,Unassigned,desktop,147,112,97,20,10,6,1099.2,0.9919
2025-02-06,Email,newsletter,email,Lifecycle,tablet,137,104,111,21,13,9,1966.18,0.971
2025-02-07,Paid Search,google,cpc,KSA Growth,desktop,110,85,89,22,13,8,2045.18,0.9672
2025-02-07,Paid Social,instagram,paid_social,Creator Offers,tablet,93,78,73,15,10,7,1262.69,0.967
2025-02-07,Affiliates,partners,affiliate,Partner Network,mobile,136,117,88,22,14,8,1824.96,0.9633
2025-02-08,Direct,direct,none,Unassigned,tablet,118,89,83,19,11,7,1829.09,0.9767
2025-02-08,Email,newsletter,email,Lifecycle,mobile,98,82,62,11,6,4,689.38,0.9911
2025-02-08,Organic Search,google,organic,Always-on SEO,desktop,106,85,73,14,7,5,798.82,0.9643
2025-02-09,Paid Social,instagram,paid_social,Creator Offers,mobile,96,80,67,15,8,5,1080.0,0.9646
2025-02-09,Affiliates,partners,affiliate,Partner Network,desktop,130,99,100,21,14,10,1709.09,0.9843
2025-02-09,Paid Search,google,cpc,KSA Growth,tablet,81,66,57,13,6,4,1061.86,0.991
2025-02-10,Email,newsletter,email,Lifecycle,desktop,141,117,93,25,13,10,2023.01,0.9901
2025-02-10,Organic Search,google,organic,Always-on SEO,tablet,127,113,98,24,16,12,2742.82,0.9646
2025-02-10,Direct,direct,none,Unassigned,mobile,93,83,59,16,9,6,1365.41,0.9823
2025-02-11,Affiliates,partners,affiliate,Partner Network,tablet,146,113,100,20,12,7,1319.14,0.9879
2025-02-11,Paid Search,google,cpc,KSA Growth,mobile,121,103,86,16,10,8,1662.72,0.9809
2025-02-11,Paid Social,instagram,paid_social,Creator Offers,desktop,86,65,64,18,10,6,1840.51,0.9716
2025-02-12,Organic Search,google,organic,Always-on SEO,mobile,151,121,97,22,12,9,2162.02,0.9766
2025-02-12,Direct,direct,none,Unassigned,desktop,96,83,74,14,8,5,1148.35,0.9645
2025-02-12,Email,newsletter,email,Lifecycle,tablet,134,116,87,19,10,7,1291.3,0.9802
2025-02-13,Paid Search,google,cpc,KSA Growth,desktop,159,142,120,24,15,12,2547.07,0.9923
2025-02-13,Paid Social,instagram,paid_social,Creator Offers,tablet,126,100,98,18,11,7,1391.14,0.9664
2025-02-13,Affiliates,partners,affiliate,Partner Network,mobile,110,89,74,14,9,7,1809.79,0.9753
2025-02-14,Direct,direct,none,Unassigned,tablet,97,82,76,15,8,7,1406.69,0.9622
2025-02-14,Email,newsletter,email,Lifecycle,mobile,91,77,63,11,5,4,895.78,0.9931
2025-02-14,Organic Search,google,organic,Always-on SEO,desktop,152,133,106,24,12,8,1367.14,0.9638
2025-02-15,Paid Social,instagram,paid_social,Creator Offers,mobile,86,77,69,14,7,5,1176.0,0.981
2025-02-15,Affiliates,partners,affiliate,Partner Network,desktop,109,84,77,20,13,8,1894.27,0.9901
2025-02-15,Paid Search,google,cpc,KSA Growth,tablet,120,92,86,24,14,8,1667.62,0.9815
2025-02-16,Email,newsletter,email,Lifecycle,desktop,108,88,70,13,9,5,912.1,0.9662
2025-02-16,Organic Search,google,organic,Always-on SEO,tablet,130,109,85,18,10,6,1346.21,0.9835
2025-02-16,Direct,direct,none,Unassigned,mobile,121,98,79,16,10,8,2010.53,0.9707
2025-02-17,Affiliates,partners,affiliate,Partner Network,tablet,97,76,66,14,8,6,1559.04,0.9874
2025-02-17,Paid Search,google,cpc,KSA Growth,mobile,160,140,119,33,20,12,2725.63,0.99
2025-02-17,Paid Social,instagram,paid_social,Creator Offers,desktop,118,87,85,20,10,6,1021.44,0.9726
2025-02-18,Organic Search,google,organic,Always-on SEO,mobile,85,72,59,12,5,4,1029.31,0.9851
2025-02-18,Direct,direct,none,Unassigned,desktop,129,101,95,20,9,7,1615.87,0.9699
2025-02-18,Email,newsletter,email,Lifecycle,tablet,84,68,55,10,5,4,859.39,0.9895
2025-02-19,Paid Search,google,cpc,KSA Growth,desktop,97,76,77,18,11,8,1807.97,0.9716
2025-02-19,Paid Social,instagram,paid_social,Creator Offers,tablet,113,98,92,24,16,11,2351.33,0.9898
2025-02-19,Affiliates,partners,affiliate,Partner Network,mobile,78,65,52,10,5,4,880.42,0.9729
2025-02-20,Direct,direct,none,Unassigned,tablet,95,78,62,17,10,6,1128.0,0.9606
2025-02-20,Email,newsletter,email,Lifecycle,mobile,152,132,119,31,18,11,2466.72,0.9896
2025-02-20,Organic Search,google,organic,Always-on SEO,desktop,88,75,68,20,10,7,1539.07,0.992
2025-02-21,Paid Social,instagram,paid_social,Creator Offers,mobile,109,81,75,17,11,8,1691.52,0.9675
2025-02-21,Affiliates,partners,affiliate,Partner Network,desktop,106,90,87,24,15,10,2391.46,0.9721
2025-02-21,Paid Search,google,cpc,KSA Growth,tablet,95,68,72,13,8,5,1147.3,0.9636
2025-02-22,Email,newsletter,email,Lifecycle,desktop,77,62,58,12,7,5,1224.1,0.973
2025-02-22,Organic Search,google,organic,Always-on SEO,tablet,157,137,104,20,11,8,1555.58,0.9639
2025-02-22,Direct,direct,none,Unassigned,mobile,102,88,75,16,10,8,1654.18,0.9871
2025-02-23,Affiliates,partners,affiliate,Partner Network,tablet,144,115,92,21,13,8,1472.74,0.9613
2025-02-23,Paid Search,google,cpc,KSA Growth,mobile,115,98,75,18,11,8,1770.34,0.9876
2025-02-23,Paid Social,instagram,paid_social,Creator Offers,desktop,87,64,64,18,9,6,1505.47,0.9746
2025-02-24,Organic Search,google,organic,Always-on SEO,mobile,136,98,97,25,14,9,1319.14,0.9767
2025-02-24,Direct,direct,none,Unassigned,desktop,121,109,92,17,11,9,1911.46,0.9763
2025-02-24,Email,newsletter,email,Lifecycle,tablet,110,83,79,15,9,6,1109.86,0.9677
2025-02-25,Paid Search,google,cpc,KSA Growth,desktop,90,74,70,17,11,7,1609.06,0.9718
2025-02-25,Paid Social,instagram,paid_social,Creator Offers,tablet,135,114,92,19,10,7,1404.48,0.9819
2025-02-25,Affiliates,partners,affiliate,Partner Network,mobile,132,114,93,25,15,12,2491.58,0.9924
2025-02-26,Direct,direct,none,Unassigned,tablet,94,67,75,15,10,7,1386.62,0.986
2025-02-26,Email,newsletter,email,Lifecycle,mobile,132,110,84,24,12,7,1888.61,0.9651
2025-02-26,Organic Search,google,organic,Always-on SEO,desktop,144,129,113,21,13,8,1743.55,0.9906
2025-02-27,Paid Social,instagram,paid_social,Creator Offers,mobile,160,125,128,32,20,15,4443.46,0.981
2025-02-27,Affiliates,partners,affiliate,Partner Network,desktop,138,99,104,18,11,6,1251.94,0.9929
2025-02-27,Paid Search,google,cpc,KSA Growth,tablet,124,105,80,14,9,5,1040.83,0.986
2025-02-28,Email,newsletter,email,Lifecycle,desktop,96,74,72,14,7,5,1175.04,0.9803
2025-02-28,Organic Search,google,organic,Always-on SEO,tablet,107,92,76,20,12,9,1793.38,0.969
2025-02-28,Direct,direct,none,Unassigned,mobile,137,100,101,25,14,11,2193.89,0.978
2025-03-01,Affiliates,partners,affiliate,Partner Network,tablet,212,160,163,33,23,17,3807.55,0.9804
2025-03-01,Paid Search,google,cpc,KSA Growth,mobile,123,109,98,26,18,11,2266.75,0.9674
2025-03-01,Paid Social,instagram,paid_social,Creator Offers,desktop,132,98,92,20,14,9,1910.4,0.9822
2025-03-02,Organic Search,google,organic,Always-on SEO,mobile,167,127,125,33,22,14,3106.66,0.9868
2025-03-02,Direct,direct,none,Unassigned,desktop,178,137,126,33,22,12,3171.17,0.985
2025-03-02,Email,newsletter,email,Lifecycle,tablet,132,112,90,17,10,6,1255.87,0.9628
2025-03-03,Paid Search,google,cpc,KSA Growth,desktop,138,119,89,24,13,8,1860.58,0.9697
2025-03-03,Paid Social,instagram,paid_social,Creator Offers,tablet,109,91,69,19,12,8,1554.43,0.9924
2025-03-03,Affiliates,partners,affiliate,Partner Network,mobile,93,82,72,14,7,5,921.7,0.9937
2025-03-04,Direct,direct,none,Unassigned,tablet,175,127,141,35,24,18,4205.38,0.9764
2025-03-04,Email,newsletter,email,Lifecycle,mobile,194,167,131,24,15,8,1335.55,0.9639
2025-03-04,Organic Search,google,organic,Always-on SEO,desktop,150,108,122,22,11,8,1922.21,0.9942
2025-03-05,Paid Social,instagram,paid_social,Creator Offers,mobile,151,122,102,26,17,10,2546.11,0.9796
2025-03-05,Affiliates,partners,affiliate,Partner Network,desktop,175,137,126,34,19,12,2737.06,0.9892
2025-03-05,Paid Search,google,cpc,KSA Growth,tablet,93,80,65,17,11,7,1406.69,0.9903
2025-03-06,Email,newsletter,email,Lifecycle,desktop,142,112,97,25,17,12,2817.89,0.9928
2025-03-06,Organic Search,google,organic,Always-on SEO,tablet,233,188,187,45,25,17,4007.52,0.9805
2025-03-06,Direct,direct,none,Unassigned,mobile,107,85,67,18,11,7,1575.55,0.973
2025-03-07,Affiliates,partners,affiliate,Partner Network,tablet,116,94,91,16,9,5,840.0,0.9621
2025-03-07,Paid Search,google,cpc,KSA Growth,mobile,209,174,146,38,21,16,3400.7,0.9639
2025-03-07,Paid Social,instagram,paid_social,Creator Offers,desktop,114,87,76,16,8,5,900.58,0.9813
2025-03-08,Organic Search,google,organic,Always-on SEO,mobile,107,86,78,15,10,7,1663.01,0.9705
2025-03-08,Direct,direct,none,Unassigned,desktop,216,163,151,30,20,13,3006.91,0.9869
2025-03-08,Email,newsletter,email,Lifecycle,tablet,187,156,129,34,23,16,3787.39,0.9809
2025-03-09,Paid Search,google,cpc,KSA Growth,desktop,155,119,121,30,17,12,2486.59,0.9665
2025-03-09,Paid Social,instagram,paid_social,Creator Offers,tablet,200,157,142,40,27,20,4688.93,0.9942
2025-03-09,Affiliates,partners,affiliate,Partner Network,mobile,129,97,100,24,15,11,1653.7,0.9826
2025-03-10,Direct,direct,none,Unassigned,tablet,97,77,66,17,8,6,1221.31,0.9833
2025-03-10,Email,newsletter,email,Lifecycle,mobile,194,152,133,24,15,11,2806.56,0.9722
2025-03-10,Organic Search,google,organic,Always-on SEO,desktop,114,98,81,22,11,8,1358.69,0.9658
2025-03-11,Paid Social,instagram,paid_social,Creator Offers,mobile,121,90,93,23,11,8,1752.29,0.9794
2025-03-11,Affiliates,partners,affiliate,Partner Network,desktop,144,111,111,27,19,14,2757.31,0.9743
2025-03-11,Paid Search,google,cpc,KSA Growth,tablet,121,95,89,16,10,7,1574.69,0.963
2025-03-12,Email,newsletter,email,Lifecycle,desktop,140,108,94,18,12,8,1658.98,0.9768
2025-03-12,Organic Search,google,organic,Always-on SEO,tablet,103,87,68,15,7,5,1203.84,0.9761
2025-03-12,Direct,direct,none,Unassigned,mobile,186,135,129,29,19,12,3337.25,0.961
2025-03-13,Affiliates,partners,affiliate,Partner Network,tablet,222,200,141,28,19,12,2179.49,0.9744
2025-03-13,Paid Search,google,cpc,KSA Growth,mobile,235,186,186,38,23,16,3693.7,0.9756
2025-03-13,Paid Social,instagram,paid_social,Creator Offers,desktop,184,155,136,24,17,11,2176.8,0.9624
2025-03-14,Organic Search,google,organic,Always-on SEO,mobile,184,139,150,43,22,16,3387.65,0.9795
2025-03-14,Direct,direct,none,Unassigned,desktop,168,133,133,27,14,9,1991.23,0.9869
2025-03-14,Email,newsletter,email,Lifecycle,tablet,235,211,184,49,30,20,5491.68,0.9892
2025-03-15,Paid Search,google,cpc,KSA Growth,desktop,203,150,133,34,20,14,3615.74,0.9832
2025-03-15,Paid Social,instagram,paid_social,Creator Offers,tablet,117,95,76,21,13,8,1859.81,0.9736
2025-03-15,Affiliates,partners,affiliate,Partner Network,mobile,151,132,124,31,21,13,2873.38,0.964
2025-03-16,Direct,direct,none,Unassigned,tablet,215,182,142,28,19,13,2313.02,0.9796
2025-03-16,Email,newsletter,email,Lifecycle,mobile,157,117,111,31,18,12,2804.45,0.9843
2025-03-16,Organic Search,google,organic,Always-on SEO,desktop,154,118,104,18,11,8,1840.51,0.9812
2025-03-17,Paid Social,instagram,paid_social,Creator Offers,mobile,101,79,71,12,8,5,1080.0,0.9826
2025-03-17,Affiliates,partners,affiliate,Partner Network,desktop,140,116,109,21,12,9,2342.4,0.9639
2025-03-17,Paid Search,google,cpc,KSA Growth,tablet,151,133,97,22,11,9,2303.04,0.9618
2025-03-18,Email,newsletter,email,Lifecycle,desktop,105,80,76,21,12,7,1429.73,0.9881
2025-03-18,Organic Search,google,organic,Always-on SEO,tablet,144,112,113,27,15,11,2447.52,0.9825
2025-03-18,Direct,direct,none,Unassigned,mobile,150,128,116,24,13,8,1772.35,0.9858
2025-03-19,Affiliates,partners,affiliate,Partner Network,tablet,130,95,104,26,14,10,1662.82,0.9923
2025-03-19,Paid Search,google,cpc,KSA Growth,mobile,147,124,99,26,17,11,2789.95,0.9753
2025-03-19,Paid Social,instagram,paid_social,Creator Offers,desktop,139,120,93,19,12,8,2076.77,0.9929
2025-03-20,Organic Search,google,organic,Always-on SEO,mobile,100,77,81,22,12,10,2177.57,0.9922
2025-03-20,Direct,direct,none,Unassigned,desktop,110,89,72,17,11,7,1925.86,0.9887
2025-03-20,Email,newsletter,email,Lifecycle,tablet,122,93,97,19,11,8,1988.26,0.9895
2025-03-21,Paid Search,google,cpc,KSA Growth,desktop,187,158,124,34,20,14,3263.33,0.9904
2025-03-21,Paid Social,instagram,paid_social,Creator Offers,tablet,126,92,100,19,11,7,1559.42,0.9654
2025-03-21,Affiliates,partners,affiliate,Partner Network,mobile,207,175,147,41,21,12,2494.27,0.9761
2025-03-22,Direct,direct,none,Unassigned,tablet,198,147,155,45,25,19,4307.81,0.9632
2025-03-22,Email,newsletter,email,Lifecycle,mobile,138,102,108,20,10,8,1797.22,0.9647
2025-03-22,Organic Search,google,organic,Always-on SEO,desktop,151,114,105,20,13,9,1687.01,0.9928
2025-03-23,Paid Social,instagram,paid_social,Creator Offers,mobile,195,147,151,27,19,11,2401.15,0.9821
2025-03-23,Affiliates,partners,affiliate,Partner Network,desktop,130,100,101,23,12,9,1672.8,0.9638
2025-03-23,Paid Search,google,cpc,KSA Growth,tablet,103,88,77,17,9,7,1949.76,0.985
2025-03-24,Email,newsletter,email,Lifecycle,desktop,204,185,148,32,21,12,3171.07,0.9626
2025-03-24,Organic Search,google,organic,Always-on SEO,tablet,113,86,87,23,13,10,2467.39,0.9941
2025-03-24,Direct,direct,none,Unassigned,mobile,196,171,156,27,18,12,2987.62,0.974
2025-03-25,Affiliates,partners,affiliate,Partner Network,tablet,214,156,166,44,26,18,4084.22,0.9701
2025-03-25,Paid Search,google,cpc,KSA Growth,mobile,134,106,103,24,16,11,2325.5,0.9792
2025-03-25,Paid Social,instagram,paid_social,Creator Offers,desktop,171,152,122,23,13,9,1740.58,0.9795
2025-03-26,Organic Search,google,organic,Always-on SEO,mobile,101,80,81,20,13,9,1763.62,0.9731
2025-03-26,Direct,direct,none,Unassigned,desktop,204,176,131,34,22,14,2671.01,0.9844
2025-03-26,Email,newsletter,email,Lifecycle,tablet,146,132,97,25,16,11,2276.45,0.9873
2025-03-27,Paid Search,google,cpc,KSA Growth,desktop,139,102,92,23,13,8,2001.79,0.9755
2025-03-27,Paid Social,instagram,paid_social,Creator Offers,tablet,113,82,91,20,11,7,1178.98,0.9622
2025-03-27,Affiliates,partners,affiliate,Partner Network,mobile,202,160,161,30,17,10,2403.26,0.9628
2025-03-28,Direct,direct,none,Unassigned,tablet,148,115,121,33,17,13,3266.11,0.9629
2025-03-28,Email,newsletter,email,Lifecycle,mobile,122,104,83,18,12,8,1449.89,0.9665
2025-03-28,Organic Search,google,organic,Always-on SEO,desktop,151,128,114,32,18,11,2084.35,0.9675
2025-03-29,Paid Social,instagram,paid_social,Creator Offers,mobile,194,143,150,32,21,16,3818.11,0.9689
2025-03-29,Affiliates,partners,affiliate,Partner Network,desktop,123,90,85,17,11,7,2002.75,0.991
2025-03-29,Paid Search,google,cpc,KSA Growth,tablet,204,170,135,24,14,9,1880.83,0.9839
2025-03-30,Email,newsletter,email,Lifecycle,desktop,159,144,101,29,19,12,2501.09,0.9863
2025-03-30,Organic Search,google,organic,Always-on SEO,tablet,125,98,95,21,14,10,2084.35,0.9769
2025-03-30,Direct,direct,none,Unassigned,mobile,92,67,73,20,13,10,2542.46,0.9652
2025-03-31,Affiliates,partners,affiliate,Partner Network,tablet,135,117,98,26,16,9,1757.76,0.9899
2025-03-31,Paid Search,google,cpc,KSA Growth,mobile,112,87,71,13,9,6,1395.84,0.9817
