date,device,country,sessions,dead_clicks,rage_clicks,excessive_scrolls,javascript_errors
2025-03-22,tablet,SA,452,0,2,6,1
2025-03-23,mobile,SA,398,5,2,12,2
2025-03-24,desktop,SA,477,5,0,12,2
2025-03-25,tablet,SA,482,6,0,13,3
2025-03-26,mobile,SA,419,3,1,8,3
2025-03-27,desktop,SA,422,6,3,2,0
2025-03-28,tablet,SA,391,4,2,4,2
2025-03-29,mobile,SA,484,1,0,12,3
2025-03-30,desktop,SA,349,2,3,1,3
2025-03-31,tablet,SA,335,0,3,4,2
2025-04-01,mobile,SA,350,8,4,13,2
2025-04-02,desktop,SA,241,1,2,9,2
2025-04-03,tablet,SA,397,4,4,10,0
2025-04-04,mobile,SA,397,4,1,13,2
2025-04-05,desktop,SA,328,3,1,3,1
2025-04-06,tablet,SA,296,7,3,2,3
2025-04-07,mobile,SA,313,1,2,6,1
2025-04-08,desktop,SA,404,8,1,8,0
2025-04-09,tablet,SA,293,5,0,3,3
2025-04-10,mobile,SA,331,4,4,9,2
2025-04-11,desktop,SA,356,6,2,5,0
2025-04-12,tablet,SA,265,0,3,12,2
2025-04-13,mobile,SA,305,0,1,4,1
2025-04-14,desktop,SA,365,8,4,1,0
2025-04-15,tablet,SA,287,0,0,13,3
2025-04-16,mobile,SA,310,8,4,9,1
2025-04-17,desktop,SA,384,8,2,8,0
2025-04-18,tablet,SA,361,0,4,12,1
2025-04-19,mobile,SA,288,7,1,7,2
2025-04-20,desktop,SA,399,1,2,13,1
2025-04-21,tablet,SA,379,8,3,1,2
2025-04-22,mobile,SA,281,1,1,6,2
2025-04-23,desktop,SA,397,7,1,6,0
2025-04-24,tablet,SA,431,4,1,6,0
2025-04-25,mobile,SA,420,0,0,7,0
2025-04-26,desktop,SA,276,1,0,6,0
2025-04-27,tablet,SA,255,1,2,7,1
2025-04-28,mobile,SA,265,1,2,2,1
2025-04-29,desktop,SA,230,2,4,12,1
2025-04-30,tablet,SA,332,1,1,7,2
2025-05-01,mobile,SA,368,8,0,7,2
2025-05-02,desktop,SA,270,3,4,2,1
2025-05-03,tablet,SA,373,2,1,1,2
2025-05-04,mobile,SA,339,2,1,8,3
2025-05-05,desktop,SA,270,5,2,5,2
2025-05-06,tablet,SA,294,7,2,2,1
2025-05-07,mobile,SA,278,0,2,3,0
2025-05-08,desktop,SA,276,1,2,11,2
2025-05-09,tablet,SA,301,5,0,1,2
2025-05-10,mobile,SA,287,0,0,3,1
2025-05-11,desktop,SA,303,5,3,1,1
2025-05-12,tablet,SA,369,6,2,9,0
2025-05-13,mobile,SA,337,1,0,5,1
2025-05-14,desktop,SA,371,3,2,9,0
2025-05-15,tablet,SA,309,1,3,1,1
2025-05-16,mobile,SA,411,1,2,13,0
2025-05-17,desktop,SA,324,7,2,9,1
2025-05-18,tablet,SA,366,7,0,2,3
2025-05-19,mobile,SA,315,1,2,8,1
2025-05-20,desktop,SA,341,2,4,6,2
2025-05-21,tablet,SA,271,6,0,8,0
2025-05-22,mobile,SA,323,7,2,2,0
2025-05-23,desktop,SA,318,3,4,9,1
2025-05-24,tablet,SA,301,2,4,12,0
2025-05-25,mobile,SA,347,2,1,11,3
2025-05-26,desktop,SA,334,7,2,9,0
2025-05-27,tablet,SA,431,5,4,4,2
2025-05-28,mobile,SA,307,8,4,1,1
2025-05-29,desktop,SA,342,8,4,13,2
2025-05-30,tablet,SA,381,6,3,1,0
2025-05-31,mobile,SA,338,5,1,5,0
2025-06-01,desktop,SA,387,4,1,8,2
2025-06-02,tablet,SA,353,2,2,4,0
2025-06-03,mobile,SA,368,3,3,10,0
2025-06-04,desktop,SA,297,3,1,3,2
2025-06-05,tablet,SA,432,2,2,7,3
2025-06-06,mobile,SA,277,2,0,3,2
2025-06-07,desktop,SA,348,4,4,8,2
2025-06-08,tablet,SA,256,1,4,4,0
2025-06-09,mobile,SA,284,2,0,2,2
2025-06-10,desktop,SA,317,3,3,9,3
2025-06-11,tablet,SA,256,4,2,13,2
2025-06-12,mobile,SA,308,2,0,1,1
2025-06-13,desktop,SA,468,1,2,3,3
2025-06-14,tablet,SA,348,6,1,5,1
2025-06-15,mobile,SA,380,7,0,5,1
2025-06-16,desktop,SA,269,7,0,4,2
2025-06-17,tablet,SA,292,1,0,2,3
2025-06-18,mobile,SA,333,1,2,7,1
2025-06-19,desktop,SA,316,4,2,11,3
2025-06-20,tablet,SA,418,0,2,8,3
2025-06-21,mobile,SA,299,5,2,7,2
2025-06-22,desktop,SA,293,4,0,3,2
2025-06-23,tablet,SA,358,0,4,4,1
2025-06-24,mobile,SA,328,0,3,1,2
2025-06-25,desktop,SA,353,2,3,8,2
2025-06-26,tablet,SA,301,5,4,7,3
2025-06-27,mobile,SA,318,0,4,1,0
2025-06-28,desktop,SA,359,4,1,9,2
2025-06-29,tablet,SA,329,1,0,8,1
2025-06-30,mobile,SA,316,3,3,1,0
2025-07-01,desktop,SA,404,2,1,11,0
2025-07-02,tablet,SA,348,7,1,11,1
2025-07-03,mobile,SA,361,3,1,10,1
2025-07-04,desktop,SA,414,6,1,5,1
2025-07-05,tablet,SA,380,0,3,2,1
2025-07-06,mobile,SA,266,5,2,12,1
2025-07-07,desktop,SA,407,5,1,13,1
2025-07-08,tablet,SA,257,4,1,6,3
2025-07-09,mobile,SA,306,8,1,12,0
2025-07-10,desktop,SA,285,1,3,13,3
2025-07-11,tablet,SA,349,0,3,11,3
2025-07-12,mobile,SA,311,0,4,4,3
2025-07-13,desktop,SA,337,6,2,4,2
2025-07-14,tablet,SA,327,2,0,4,3
2025-07-15,mobile,SA,266,4,4,1,1
2025-07-16,desktop,SA,304,2,3,10,1
2025-07-17,tablet,SA,411,8,0,10,0
2025-07-18,mobile,SA,382,1,1,13,2
2025-07-19,desktop,SA,294,8,1,6,0
2025-07-20,tablet,SA,300,4,3,7,1
2025-07-21,mobile,SA,299,6,4,7,3
2025-07-22,desktop,SA,371,8,3,5,0
2025-07-23,tablet,SA,417,7,0,9,1
2025-07-24,mobile,SA,329,5,1,1,3
2025-07-25,desktop,SA,377,6,4,3,3
2025-07-26,tablet,SA,374,2,2,8,1
2025-07-27,mobile,SA,326,1,0,8,2
2025-07-28,desktop,SA,351,4,4,8,3
2025-07-29,tablet,SA,317,4,2,6,2
2025-07-30,mobile,SA,365,6,4,11,1
2025-07-31,desktop,SA,406,5,1,8,2
2025-08-01,tablet,SA,385,0,0,13,2
2025-08-02,mobile,SA,381,2,4,2,2
2025-08-03,desktop,SA,374,7,4,10,3
2025-08-04,tablet,SA,295,1,3,1,3
2025-08-05,mobile,SA,307,4,1,10,0
2025-08-06,desktop,SA,382,4,0,3,0
2025-08-07,tablet,SA,332,7,3,1,0
2025-08-08,mobile,SA,385,5,4,2,3
2025-08-09,desktop,SA,432,4,1,5,1
2025-08-10,tablet,SA,493,2,1,9,3
2025-08-11,mobile,SA,415,8,4,12,0
2025-08-12,desktop,SA,469,4,0,3,2
2025-08-13,tablet,SA,378,6,0,13,2
2025-08-14,mobile,SA,433,8,2,3,1
2025-08-15,desktop,SA,306,6,3,2,2
2025-08-16,tablet,SA,286,8,2,1,1
2025-08-17,mobile,SA,339,1,1,4,1
2025-08-18,desktop,SA,394,8,2,4,3
2025-08-19,tablet,SA,381,4,0,1,2
2025-08-20,mobile,SA,457,5,0,13,0
2025-08-21,desktop,SA,411,4,3,1,0
2025-08-22,tablet,SA,402,5,4,10,1
2025-08-23,mobile,SA,292,7,0,12,3
2025-08-24,desktop,SA,342,0,1,9,3
2025-08-25,tablet,SA,349,3,2,4,3
2025-08-26,mobile,SA,325,3,2,8,3
2025-08-27,desktop,SA,345,7,2,3,1
2025-08-28,tablet,SA,395,6,1,10,1
2025-08-29,mobile,SA,423,7,4,8,3
2025-08-30,desktop,SA,379,5,2,3,2
2025-08-31,tablet,SA,395,2,0,12,3
2025-09-01,mobile,SA,333,8,0,8,0
2025-09-02,desktop,SA,350,1,0,1,3
2025-09-03,tablet,SA,316,3,2,10,0
2025-09-04,mobile,SA,440,8,4,11,0
2025-09-05,desktop,SA,486,0,2,2,2
2025-09-06,tablet,SA,391,4,3,13,3
2025-09-07,mobile,SA,376,2,2,6,3
2025-09-08,desktop,SA,340,5,3,8,0
2025-09-09,tablet,SA,292,5,2,12,3
2025-09-10,mobile,SA,325,7,4,10,3
2025-09-11,desktop,SA,394,7,0,12,2
2025-09-12,tablet,SA,478,7,0,8,2
2025-09-13,mobile,SA,300,8,0,9,3
2025-09-14,desktop,SA,361,4,3,11,2
2025-09-15,tablet,SA,295,6,2,11,1
2025-09-16,mobile,SA,324,8,0,10,3
2025-09-17,desktop,SA,304,0,1,1,2
2025-09-18,tablet,SA,294,2,3,10,1
2025-09-19,mobile,SA,320,0,3,6,2
2025-09-20,desktop,SA,386,7,4,7,2
2025-09-21,tablet,SA,575,4,0,7,3
2025-09-22,mobile,SA,448,4,4,12,2
2025-09-23,desktop,SA,407,0,0,13,1
2025-09-24,tablet,SA,328,6,0,2,3
2025-09-25,mobile,SA,451,3,1,10,3
2025-09-26,desktop,SA,320,0,4,1,2
2025-09-27,tablet,SA,341,6,3,11,0
2025-09-28,mobile,SA,398,3,2,13,0
2025-09-29,desktop,SA,261,1,3,13,0
2025-09-30,tablet,SA,352,0,3,11,0
2025-10-01,mobile,SA,240,2,3,6,0
2025-10-02,desktop,SA,358,5,1,7,3
2025-10-03,tablet,SA,337,0,2,2,2
2025-10-04,mobile,SA,344,5,3,11,3
2025-10-05,desktop,SA,286,0,1,1,3
2025-10-06,tablet,SA,356,2,0,12,2
2025-10-07,mobile,SA,279,4,4,8,2
2025-10-08,desktop,SA,297,0,2,7,1
2025-10-09,tablet,SA,422,1,3,9,3
2025-10-10,mobile,SA,324,3,0,9,0
2025-10-11,desktop,SA,290,2,4,5,0
2025-10-12,tablet,SA,297,0,1,12,2
2025-10-13,mobile,SA,313,0,2,6,0
2025-10-14,desktop,SA,321,8,0,2,0
2025-10-15,tablet,SA,269,1,2,10,1
2025-10-16,mobile,SA,284,2,0,8,0
2025-10-17,desktop,SA,441,5,0,6,1
2025-10-18,tablet,SA,287,4,4,6,0
2025-10-19,mobile,SA,339,8,3,1,3
2025-10-20,desktop,SA,351,6,3,5,2
2025-10-21,tablet,SA,295,5,3,2,2
2025-10-22,mobile,SA,278,7,4,10,3
2025-10-23,desktop,SA,292,7,3,8,1
2025-10-24,tablet,SA,444,0,3,5,1
2025-10-25,mobile,SA,294,4,3,11,2
2025-10-26,desktop,SA,347,5,0,4,0
2025-10-27,tablet,SA,289,6,1,9,2
2025-10-28,mobile,SA,249,1,1,4,1
2025-10-29,desktop,SA,271,1,1,7,3
2025-10-30,tablet,SA,313,2,4,10,0
2025-10-31,mobile,SA,372,2,0,8,3
2025-11-01,desktop,SA,413,3,0,9,3
2025-11-02,tablet,SA,335,8,2,1,2
2025-11-03,mobile,SA,299,8,3,13,0
2025-11-04,desktop,SA,219,5,4,5,0
2025-11-05,tablet,SA,295,1,0,8,3
2025-11-06,mobile,SA,395,2,2,1,1
2025-11-07,desktop,SA,358,6,1,2,1
2025-11-08,tablet,SA,361,0,2,4,2
2025-11-09,mobile,SA,358,7,0,9,2
2025-11-10,desktop,SA,362,2,3,9,0
2025-11-11,tablet,SA,321,4,2,8,3
2025-11-12,mobile,SA,369,8,3,6,0
2025-11-13,desktop,SA,308,6,4,10,3
2025-11-14,tablet,SA,357,1,2,4,0
2025-11-15,mobile,SA,352,3,3,2,0
2025-11-16,desktop,SA,220,0,4,6,0
2025-11-17,tablet,SA,387,5,3,10,1
2025-11-18,mobile,SA,360,1,2,5,0
2025-11-19,desktop,SA,314,4,0,2,3
2025-11-20,tablet,SA,297,3,2,13,1
2025-11-21,mobile,SA,277,5,3,6,0
2025-11-22,desktop,SA,436,1,3,7,3
2025-11-23,tablet,SA,328,8,2,7,1
2025-11-24,mobile,SA,270,3,2,11,3
2025-11-25,desktop,SA,375,1,4,4,0
2025-11-26,tablet,SA,276,6,3,9,3
2025-11-27,mobile,SA,415,5,0,1,2
2025-11-28,desktop,SA,398,8,3,8,2
2025-11-29,tablet,SA,299,8,0,2,0
2025-11-30,mobile,SA,389,8,3,5,0
2025-12-01,desktop,SA,303,0,0,1,2
2025-12-02,tablet,SA,329,5,4,8,3
2025-12-03,mobile,SA,352,8,0,1,2
2025-12-04,desktop,SA,389,5,0,3,0
2025-12-05,tablet,SA,418,5,3,10,3
2025-12-06,mobile,SA,335,0,3,11,2
2025-12-07,desktop,SA,365,1,0,5,2
2025-12-08,tablet,SA,373,0,2,1,1
2025-12-09,mobile,SA,295,4,1,13,2
2025-12-10,desktop,SA,298,7,0,10,2
2025-12-11,tablet,SA,379,4,4,7,3
2025-12-12,mobile,SA,309,0,2,10,1
2025-12-13,desktop,SA,303,7,2,9,1
2025-12-14,tablet,SA,314,7,3,3,3
2025-12-15,mobile,SA,295,5,2,6,3
2025-12-16,desktop,SA,353,3,3,2,1
2025-12-17,tablet,SA,298,7,1,1,0
2025-12-18,mobile,SA,372,3,0,7,0
2025-12-19,desktop,SA,319,4,2,5,0
2025-12-20,tablet,SA,426,8,1,10,0
2025-12-21,mobile,SA,324,6,4,8,0
2025-12-22,desktop,SA,332,4,2,13,2
2025-12-23,tablet,SA,250,1,2,2,3
2025-12-24,mobile,SA,326,3,4,7,2
2025-12-25,desktop,SA,368,3,0,4,1
2025-12-26,tablet,SA,382,3,4,2,3
2025-12-27,mobile,SA,392,5,1,9,3
2025-12-28,desktop,SA,239,3,4,10,2
2025-12-29,tablet,SA,347,7,3,13,1
2025-12-30,mobile,SA,385,5,2,13,1
2025-12-31,desktop,SA,336,5,3,6,1
