order_id,tracking_transaction_id,order_date,anonymous_customer_id,customer_type,channel,source,medium,campaign,device,city,payment_method,coupon_group,order_status,gross_revenue_sar,discount_sar,refund_sar,net_revenue_sar
SYN-20250103-2-00,TX-250103-2-00,2025-01-03,CUST-00224,returning,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,none,completed,219.0,0.0,0.0,219.0
SYN-20250103-2-01,TX-250103-2-01,2025-01-03,CUST-00241,returning,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,none,completed,139.0,0.0,0.0,139.0
SYN-20250103-2-02,TX-250103-2-02,2025-01-03,CUST-00258,returning,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,none,completed,189.0,0.0,0.0,189.0
SYN-20250103-2-03,TX-250103-2-03,2025-01-03,CUST-00275,returning,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,none,completed,329.0,0.0,0.0,329.0
SYN-20250103-2-04,TX-250103-2-04,2025-01-03,CUST-00292,returning,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,none,completed,318.0,0.0,0.0,318.0
SYN-20250103-2-05,TX-250103-2-05,2025-01-03,CUST-00309,returning,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,campaign,completed,279.0,27.9,0.0,251.1
SYN-20250104-0-00,TX-250104-0-00,2025-01-04,CUST-00033,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,249.0,0.0,0.0,249.0
SYN-20250104-0-01,TX-250104-0-01,2025-01-04,CUST-00050,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,campaign,completed,219.0,21.9,0.0,197.1
SYN-20250104-0-02,TX-250104-0-02,2025-01-04,CUST-00067,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,278.0,0.0,0.0,278.0
SYN-20250104-0-03,TX-250104-0-03,2025-01-04,CUST-00084,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,189.0,0.0,0.0,189.0
SYN-20250104-0-04,TX-250104-0-04,2025-01-04,CUST-00101,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,329.0,0.0,0.0,329.0
SYN-20250104-0-05,TX-250104-0-05,2025-01-04,CUST-00118,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,159.0,0.0,0.0,159.0
SYN-20250104-0-06,TX-250104-0-06,2025-01-04,CUST-00135,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,558.0,0.0,0.0,558.0
SYN-20250104-0-07,TX-250104-0-07,2025-01-04,CUST-00152,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,199.0,0.0,0.0,199.0
SYN-20250104-0-08,TX-250104-0-08,2025-01-04,CUST-00169,new,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,none,completed,359.0,0.0,0.0,359.0
SYN-20250104-1-00,TX-250104-1-00,2025-01-04,CUST-00134,returning,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,none,completed,189.0,0.0,0.0,189.0
SYN-20250104-1-01,TX-250104-1-01,2025-01-04,CUST-00151,returning,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,campaign,completed,329.0,32.9,0.0,296.1
SYN-20250104-1-02,TX-250104-1-02,2025-01-04,CUST-00168,returning,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,none,completed,159.0,0.0,0.0,159.0
SYN-20250104-1-03,TX-250104-1-03,2025-01-04,CUST-00185,returning,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,none,completed,558.0,0.0,0.0,558.0
SYN-20250104-1-04,TX-250104-1-04,2025-01-04,CUST-00202,returning,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,none,completed,199.0,0.0,0.0,199.0
SYN-20250104-1-05,TX-250104-1-05,2025-01-04,CUST-00219,returning,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,none,completed,359.0,0.0,0.0,359.0
SYN-20250104-1-06,TX-250104-1-06,2025-01-04,CUST-00236,returning,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,none,completed,299.0,0.0,0.0,299.0
SYN-20250104-2-00,TX-250104-2-00,2025-01-04,CUST-00235,new,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,campaign,completed,279.0,27.9,0.0,251.1
SYN-20250104-2-01,TX-250104-2-01,2025-01-04,CUST-00252,new,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,none,completed,199.0,0.0,0.0,199.0
SYN-20250104-2-02,TX-250104-2-02,2025-01-04,CUST-00269,new,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,none,completed,359.0,0.0,0.0,359.0
SYN-20250104-2-03,TX-250104-2-03,2025-01-04,CUST-00286,new,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,none,completed,299.0,0.0,0.0,299.0
SYN-20250104-2-04,TX-250104-2-04,2025-01-04,CUST-00303,new,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,none,completed,89.0,0.0,0.0,89.0
SYN-20250104-2-05,TX-250104-2-05,2025-01-04,CUST-00320,new,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,none,completed,179.0,0.0,0.0,179.0
SYN-20250104-2-06,TX-250104-2-06,2025-01-04,CUST-00337,new,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,none,completed,498.0,0.0,0.0,498.0
SYN-20250105-0-00,TX-250105-0-00,2025-01-05,CUST-00044,returning,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,none,completed,159.0,0.0,0.0,159.0
SYN-20250105-0-01,TX-250105-0-01,2025-01-05,CUST-00061,returning,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,none,completed,279.0,0.0,0.0,279.0
SYN-20250105-0-02,TX-250105-0-02,2025-01-05,CUST-00078,returning,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,none,completed,398.0,0.0,0.0,398.0
SYN-20250105-0-03,TX-250105-0-03,2025-01-05,CUST-00095,returning,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,none,completed,359.0,0.0,0.0,359.0
SYN-20250105-0-04,TX-250105-0-04,2025-01-05,CUST-00112,returning,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,none,completed,299.0,0.0,0.0,299.0
SYN-20250105-0-05,TX-250105-0-05,2025-01-05,CUST-00129,returning,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,none,completed,89.0,0.0,0.0,89.0
SYN-20250105-1-00,TX-250105-1-00,2025-01-05,CUST-00145,new,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,none,completed,359.0,0.0,0.0,359.0
SYN-20250105-1-01,TX-250105-1-01,2025-01-05,CUST-00162,new,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,none,completed,299.0,0.0,0.0,299.0
SYN-20250105-1-02,TX-250105-1-02,2025-01-05,CUST-00179,new,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,campaign,completed,89.0,8.9,0.0,80.1
SYN-20250105-1-03,TX-250105-1-03,2025-01-05,CUST-00196,new,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,none,completed,179.0,0.0,0.0,179.0
SYN-20250105-1-04,TX-250105-1-04,2025-01-05,CUST-00213,new,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,none,completed,498.0,0.0,0.0,498.0
SYN-20250105-1-05,TX-250105-1-05,2025-01-05,CUST-00230,new,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,none,completed,219.0,0.0,0.0,219.0
SYN-20250105-1-06,TX-250105-1-06,2025-01-05,CUST-00247,new,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,none,completed,139.0,0.0,0.0,139.0
SYN-20250105-2-00,TX-250105-2-00,2025-01-05,CUST-00246,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,358.0,0.0,0.0,358.0
SYN-20250105-2-01,TX-250105-2-01,2025-01-05,CUST-00263,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,249.0,0.0,0.0,249.0
SYN-20250105-2-02,TX-250105-2-02,2025-01-05,CUST-00280,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,219.0,0.0,0.0,219.0
SYN-20250105-2-03,TX-250105-2-03,2025-01-05,CUST-00297,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,139.0,0.0,0.0,139.0
SYN-20250105-2-04,TX-250105-2-04,2025-01-05,CUST-00314,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,189.0,0.0,0.0,189.0
SYN-20250105-2-05,TX-250105-2-05,2025-01-05,CUST-00331,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,329.0,0.0,0.0,329.0
SYN-20250105-2-06,TX-250105-2-06,2025-01-05,CUST-00348,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,318.0,0.0,0.0,318.0
SYN-20250105-2-07,TX-250105-2-07,2025-01-05,CUST-00365,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,279.0,0.0,0.0,279.0
SYN-20250105-2-08,TX-250105-2-08,2025-01-05,CUST-00382,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,199.0,0.0,0.0,199.0
SYN-20250105-2-09,TX-250105-2-09,2025-01-05,CUST-00399,new,Direct,direct,none,Unassigned,mobile,Madinah,mada,none,completed,359.0,0.0,0.0,359.0
SYN-20250106-0-00,TX-250106-0-00,2025-01-06,CUST-00055,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,89.0,0.0,0.0,89.0
SYN-20250106-0-01,TX-250106-0-01,2025-01-06,CUST-00072,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,179.0,0.0,0.0,179.0
SYN-20250106-0-02,TX-250106-0-02,2025-01-06,CUST-00089,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,249.0,0.0,0.0,249.0
SYN-20250106-0-03,TX-250106-0-03,2025-01-06,CUST-00106,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,438.0,0.0,0.0,438.0
SYN-20250106-0-04,TX-250106-0-04,2025-01-06,CUST-00123,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,139.0,0.0,0.0,139.0
SYN-20250106-0-05,TX-250106-0-05,2025-01-06,CUST-00140,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,189.0,0.0,0.0,189.0
SYN-20250106-0-06,TX-250106-0-06,2025-01-06,CUST-00157,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,329.0,0.0,0.0,329.0
SYN-20250106-0-07,TX-250106-0-07,2025-01-06,CUST-00174,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,campaign,completed,159.0,15.9,0.0,143.1
SYN-20250106-0-08,TX-250106-0-08,2025-01-06,CUST-00191,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,campaign,completed,279.0,27.9,0.0,251.1
SYN-20250106-0-09,TX-250106-0-09,2025-01-06,CUST-00208,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,campaign,completed,199.0,19.9,0.0,179.1
SYN-20250106-0-10,TX-250106-0-10,2025-01-06,CUST-00225,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,refunded,359.0,0.0,359.0,0.0
SYN-20250106-0-11,TX-250106-0-11,2025-01-06,CUST-00242,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,299.0,0.0,0.0,299.0
SYN-20250106-0-12,TX-250106-0-12,2025-01-06,CUST-00259,new,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,none,completed,178.0,0.0,0.0,178.0
SYN-20250106-1-00,TX-250106-1-00,2025-01-06,CUST-00156,new,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,campaign,completed,219.0,21.9,0.0,197.1
SYN-20250106-1-01,TX-250106-1-01,2025-01-06,CUST-00173,new,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,none,completed,139.0,0.0,0.0,139.0
SYN-20250106-1-02,TX-250106-1-02,2025-01-06,CUST-00190,new,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,none,completed,189.0,0.0,0.0,189.0
SYN-20250106-1-03,TX-250106-1-03,2025-01-06,CUST-00207,new,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,none,completed,329.0,0.0,0.0,329.0
SYN-20250106-1-04,TX-250106-1-04,2025-01-06,CUST-00224,new,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,none,completed,318.0,0.0,0.0,318.0
SYN-20250106-1-05,TX-250106-1-05,2025-01-06,CUST-00241,new,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,none,completed,279.0,0.0,0.0,279.0
SYN-20250106-1-06,TX-250106-1-06,2025-01-06,CUST-00258,new,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,campaign,completed,199.0,19.9,0.0,179.1
SYN-20250106-2-00,TX-250106-2-00,2025-01-06,CUST-00257,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,campaign,completed,329.0,32.9,0.0,296.1
SYN-20250106-2-01,TX-250106-2-01,2025-01-06,CUST-00274,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,campaign,completed,159.0,15.9,0.0,143.1
SYN-20250106-2-02,TX-250106-2-02,2025-01-06,CUST-00291,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,none,completed,279.0,0.0,0.0,279.0
SYN-20250106-2-03,TX-250106-2-03,2025-01-06,CUST-00308,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,none,completed,398.0,0.0,0.0,398.0
SYN-20250106-2-04,TX-250106-2-04,2025-01-06,CUST-00325,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,none,completed,359.0,0.0,0.0,359.0
SYN-20250106-2-05,TX-250106-2-05,2025-01-06,CUST-00342,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,none,completed,299.0,0.0,0.0,299.0
SYN-20250106-2-06,TX-250106-2-06,2025-01-06,CUST-00359,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,campaign,completed,89.0,8.9,0.0,80.1
SYN-20250106-2-07,TX-250106-2-07,2025-01-06,CUST-00376,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,campaign,completed,179.0,17.9,0.0,161.1
SYN-20250106-2-08,TX-250106-2-08,2025-01-06,CUST-00393,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,none,completed,249.0,0.0,0.0,249.0
SYN-20250106-2-09,TX-250106-2-09,2025-01-06,CUST-00410,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,none,completed,219.0,0.0,0.0,219.0
SYN-20250106-2-10,TX-250106-2-10,2025-01-06,CUST-00427,new,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,none,completed,139.0,0.0,0.0,139.0
SYN-20250107-0-00,TX-250107-0-00,2025-01-07,CUST-00066,new,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,none,completed,189.0,0.0,0.0,189.0
SYN-20250107-0-01,TX-250107-0-01,2025-01-07,CUST-00083,new,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,none,completed,329.0,0.0,0.0,329.0
SYN-20250107-0-02,TX-250107-0-02,2025-01-07,CUST-00100,new,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,none,completed,159.0,0.0,0.0,159.0
SYN-20250107-0-03,TX-250107-0-03,2025-01-07,CUST-00117,new,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,none,completed,279.0,0.0,0.0,279.0
SYN-20250107-0-04,TX-250107-0-04,2025-01-07,CUST-00134,new,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,campaign,completed,199.0,19.9,0.0,179.1
SYN-20250107-0-05,TX-250107-0-05,2025-01-07,CUST-00151,new,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,none,completed,359.0,0.0,0.0,359.0
